label,count,month
POS,1,05/01/2002
POS,1,09/01/2002
POS,1,01/01/2003
POS,1,03/01/2003
POS,0,04/01/2003
POS,1,07/01/2003
POS,1,10/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,2,02/01/2004
POS,1,04/01/2004
POS,3,06/01/2004
POS,4,07/01/2004
POS,3,08/01/2004
POS,2,09/01/2004
POS,1,01/01/2005
POS,1,02/01/2005
POS,3,03/01/2005
POS,0,04/01/2005
POS,1,05/01/2005
POS,1,06/01/2005
POS,2,07/01/2005
POS,4,08/01/2005
POS,1,10/01/2005
POS,3,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,1,02/01/2006
POS,2,03/01/2006
POS,2,05/01/2006
POS,0,06/01/2006
POS,3,07/01/2006
POS,3,08/01/2006
POS,1,11/01/2006
POS,2,01/01/2007
POS,3,03/01/2007
POS,1,04/01/2007
POS,4,05/01/2007
POS,0,06/01/2007
POS,2,07/01/2007
POS,2,09/01/2007
POS,1,10/01/2007
POS,6,11/01/2007
POS,1,12/01/2007
POS,1,01/01/2008
POS,1,02/01/2008
POS,2,03/01/2008
POS,1,04/01/2008
POS,1,05/01/2008
POS,1,06/01/2008
POS,2,07/01/2008
POS,3,08/01/2008
POS,2,09/01/2008
POS,2,10/01/2008
POS,2,11/01/2008
POS,2,12/01/2008
POS,1,01/01/2009
POS,3,02/01/2009
POS,3,03/01/2009
POS,3,04/01/2009
POS,2,06/01/2009
POS,4,07/01/2009
POS,2,08/01/2009
POS,3,09/01/2009
POS,4,10/01/2009
POS,1,11/01/2009
POS,12,12/01/2009
POS,42,01/01/2010
POS,32,02/01/2010
POS,45,03/01/2010
POS,44,04/01/2010
POS,26,05/01/2010
POS,32,06/01/2010
POS,32,07/01/2010
POS,49,08/01/2010
POS,29,09/01/2010
POS,22,10/01/2010
POS,36,11/01/2010
POS,29,12/01/2010
POS,43,01/01/2011
POS,27,02/01/2011
POS,28,03/01/2011
POS,22,04/01/2011
POS,24,05/01/2011
POS,25,06/01/2011
POS,34,07/01/2011
POS,57,08/01/2011
POS,26,09/01/2011
POS,35,10/01/2011
POS,48,11/01/2011
POS,45,12/01/2011
POS,62,01/01/2012
POS,34,02/01/2012
POS,43,03/01/2012
POS,42,04/01/2012
POS,41,05/01/2012
POS,43,06/01/2012
POS,40,07/01/2012
POS,32,08/01/2012
POS,39,09/01/2012
POS,36,10/01/2012
POS,44,11/01/2012
POS,17,12/01/2012
NEG,0,05/01/2002
NEG,0,09/01/2002
NEG,0,01/01/2003
NEG,1,03/01/2003
NEG,1,04/01/2003
NEG,0,07/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,02/01/2004
NEG,0,04/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,11/01/2006
NEG,0,01/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,0,01/01/2008
NEG,2,02/01/2008
NEG,2,03/01/2008
NEG,0,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,1,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,3,01/01/2010
NEG,3,02/01/2010
NEG,4,03/01/2010
NEG,4,04/01/2010
NEG,5,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,6,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,6,03/01/2011
NEG,2,04/01/2011
NEG,6,05/01/2011
NEG,6,06/01/2011
NEG,7,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,6,10/01/2011
NEG,1,11/01/2011
NEG,6,12/01/2011
NEG,7,01/01/2012
NEG,4,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,5,11/01/2012
NEG,3,12/01/2012
