label,count,month
POS,2,04/01/2010
POS,4,06/01/2010
POS,3,07/01/2010
POS,3,08/01/2010
POS,2,09/01/2010
POS,0,10/01/2010
POS,0,11/01/2010
POS,2,01/01/2011
POS,1,03/01/2011
POS,2,04/01/2011
POS,1,05/01/2011
POS,2,06/01/2011
POS,2,07/01/2011
POS,4,08/01/2011
POS,4,09/01/2011
POS,6,10/01/2011
POS,1,11/01/2011
POS,1,12/01/2011
POS,1,01/01/2012
POS,0,02/01/2012
POS,3,03/01/2012
POS,3,04/01/2012
POS,7,05/01/2012
POS,14,06/01/2012
POS,30,07/01/2012
POS,42,08/01/2012
POS,29,09/01/2012
POS,33,10/01/2012
POS,20,11/01/2012
POS,6,12/01/2012
NEG,0,04/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,1,01/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,12,07/01/2012
NEG,8,08/01/2012
NEG,3,09/01/2012
NEG,4,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
