label,count,month
POS,4,01/01/2011
POS,3,02/01/2011
POS,2,03/01/2011
POS,1,04/01/2011
POS,2,05/01/2011
POS,9,06/01/2011
POS,20,07/01/2011
POS,22,08/01/2011
POS,18,09/01/2011
POS,33,10/01/2011
POS,21,11/01/2011
POS,26,12/01/2011
POS,32,01/01/2012
POS,15,02/01/2012
POS,33,03/01/2012
POS,38,04/01/2012
POS,21,05/01/2012
POS,28,06/01/2012
POS,38,07/01/2012
POS,22,08/01/2012
POS,26,09/01/2012
POS,14,10/01/2012
POS,27,11/01/2012
POS,5,12/01/2012
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,3,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,2,02/01/2012
NEG,4,03/01/2012
NEG,2,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
