key,value,date
POS,3,10/01/2010
POS,2,11/01/2010
POS,4,12/01/2010
POS,4,01/01/2011
POS,6,02/01/2011
POS,2,03/01/2011
POS,2,04/01/2011
POS,5,05/01/2011
POS,9,06/01/2011
POS,12,07/01/2011
POS,16,08/01/2011
POS,13,09/01/2011
POS,18,10/01/2011
POS,17,11/01/2011
POS,13,12/01/2011
POS,13,01/01/2012
POS,8,02/01/2012
POS,11,03/01/2012
POS,8,04/01/2012
POS,15,05/01/2012
POS,25,06/01/2012
POS,27,07/01/2012
POS,29,08/01/2012
POS,14,09/01/2012
POS,14,10/01/2012
POS,12,11/01/2012
POS,5,12/01/2012
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
