label,count,month
POS,0,06/01/2010
POS,3,07/01/2010
POS,3,08/01/2010
POS,5,09/01/2010
POS,2,10/01/2010
POS,3,11/01/2010
POS,3,01/01/2011
POS,3,02/01/2011
POS,0,03/01/2011
POS,2,04/01/2011
POS,0,05/01/2011
POS,1,06/01/2011
POS,4,08/01/2011
POS,6,09/01/2011
POS,5,10/01/2011
POS,2,11/01/2011
POS,5,12/01/2011
POS,2,01/01/2012
POS,3,02/01/2012
POS,9,03/01/2012
POS,10,04/01/2012
POS,7,05/01/2012
POS,10,06/01/2012
POS,8,07/01/2012
POS,7,08/01/2012
POS,13,09/01/2012
POS,16,10/01/2012
POS,4,11/01/2012
POS,1,12/01/2012
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,1,12/01/2012
