key,value,date
POS,4,03/01/2010
POS,1,04/01/2010
POS,1,05/01/2010
POS,3,06/01/2010
POS,1,07/01/2010
POS,2,08/01/2010
POS,5,09/01/2010
POS,1,10/01/2010
POS,0,12/01/2010
POS,0,01/01/2011
POS,2,02/01/2011
POS,6,03/01/2011
POS,3,04/01/2011
POS,8,06/01/2011
POS,5,07/01/2011
POS,2,08/01/2011
POS,5,09/01/2011
POS,6,10/01/2011
POS,1,11/01/2011
POS,2,12/01/2011
POS,0,01/01/2012
POS,2,03/01/2012
POS,3,04/01/2012
POS,1,05/01/2012
POS,6,06/01/2012
POS,5,07/01/2012
POS,2,08/01/2012
POS,6,09/01/2012
POS,6,10/01/2012
POS,9,11/01/2012
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
