key,value,date
POS,2,03/01/2010
POS,1,05/01/2010
POS,0,06/01/2010
POS,1,07/01/2010
POS,6,08/01/2010
POS,5,09/01/2010
POS,2,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,0,01/01/2011
POS,3,03/01/2011
POS,2,04/01/2011
POS,3,05/01/2011
POS,5,06/01/2011
POS,6,07/01/2011
POS,5,08/01/2011
POS,5,09/01/2011
POS,6,10/01/2011
POS,8,11/01/2011
POS,10,12/01/2011
POS,4,01/01/2012
POS,2,02/01/2012
POS,6,03/01/2012
POS,4,04/01/2012
POS,3,05/01/2012
POS,4,06/01/2012
POS,4,07/01/2012
POS,4,08/01/2012
POS,4,09/01/2012
POS,5,10/01/2012
POS,6,11/01/2012
POS,1,12/01/2012
NEG,0,03/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,2,07/01/2012
NEG,3,08/01/2012
NEG,2,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
