label,count,month
POS,1,04/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,4,08/01/2011
POS,2,09/01/2011
POS,2,10/01/2011
POS,0,11/01/2011
POS,2,12/01/2011
POS,3,02/01/2012
POS,1,04/01/2012
POS,4,05/01/2012
POS,7,06/01/2012
POS,8,07/01/2012
POS,4,08/01/2012
POS,5,09/01/2012
POS,3,10/01/2012
POS,2,11/01/2012
NEG,0,04/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,02/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,3,11/01/2012
