key,value,date
POS,1,04/01/2003
POS,1,10/01/2003
POS,1,01/01/2004
POS,2,02/01/2004
POS,1,05/01/2004
POS,1,08/01/2004
POS,1,04/01/2005
POS,1,06/01/2005
POS,3,07/01/2005
POS,4,08/01/2005
POS,1,10/01/2005
POS,1,11/01/2005
POS,2,12/01/2005
POS,1,01/01/2006
POS,3,05/01/2006
POS,2,07/01/2006
POS,2,08/01/2006
POS,3,09/01/2006
POS,1,10/01/2006
POS,3,11/01/2006
POS,4,12/01/2006
POS,3,01/01/2007
POS,2,02/01/2007
POS,1,04/01/2007
POS,3,06/01/2007
POS,0,07/01/2007
POS,8,08/01/2007
POS,2,10/01/2007
POS,1,11/01/2007
POS,3,12/01/2007
POS,1,01/01/2008
POS,2,02/01/2008
POS,4,04/01/2008
POS,2,05/01/2008
POS,4,06/01/2008
POS,5,07/01/2008
POS,3,08/01/2008
POS,2,09/01/2008
POS,1,10/01/2008
POS,1,11/01/2008
POS,1,12/01/2008
POS,3,01/01/2009
POS,4,02/01/2009
POS,4,03/01/2009
POS,5,04/01/2009
POS,5,05/01/2009
POS,3,06/01/2009
POS,3,07/01/2009
POS,3,08/01/2009
POS,0,09/01/2009
POS,6,10/01/2009
POS,2,11/01/2009
POS,10,12/01/2009
POS,26,01/01/2010
POS,39,02/01/2010
POS,40,03/01/2010
POS,38,04/01/2010
POS,22,05/01/2010
POS,35,06/01/2010
POS,35,07/01/2010
POS,42,08/01/2010
POS,48,09/01/2010
POS,33,10/01/2010
POS,32,11/01/2010
POS,40,12/01/2010
POS,23,01/01/2011
POS,27,02/01/2011
POS,27,03/01/2011
POS,29,04/01/2011
POS,26,05/01/2011
POS,28,06/01/2011
POS,37,07/01/2011
POS,54,08/01/2011
POS,34,09/01/2011
POS,35,10/01/2011
POS,47,11/01/2011
POS,31,12/01/2011
POS,29,01/01/2012
POS,41,02/01/2012
POS,34,03/01/2012
POS,37,04/01/2012
POS,36,05/01/2012
POS,27,06/01/2012
POS,56,07/01/2012
POS,37,08/01/2012
POS,47,09/01/2012
POS,33,10/01/2012
POS,34,11/01/2012
POS,21,12/01/2012
NEG,1,04/01/2003
NEG,0,10/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,05/01/2004
NEG,0,08/01/2004
NEG,0,04/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,2,10/01/2005
NEG,0,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,0,05/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,0,04/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,3,07/01/2009
NEG,0,08/01/2009
NEG,2,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,5,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,2,05/01/2010
NEG,4,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,4,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,4,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,3,05/01/2011
NEG,4,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,5,12/01/2011
NEG,7,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,4,06/01/2012
NEG,3,07/01/2012
NEG,5,08/01/2012
NEG,6,09/01/2012
NEG,2,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
