label,count,month
POS,2,07/01/2008
POS,6,08/01/2008
POS,1,09/01/2008
POS,3,10/01/2008
POS,2,11/01/2008
POS,1,12/01/2008
POS,5,01/01/2009
POS,3,02/01/2009
POS,3,03/01/2009
POS,2,04/01/2009
POS,1,05/01/2009
POS,5,06/01/2009
POS,3,07/01/2009
POS,5,08/01/2009
POS,5,09/01/2009
POS,9,10/01/2009
POS,4,11/01/2009
POS,5,12/01/2009
POS,1,01/01/2010
POS,3,02/01/2010
POS,4,03/01/2010
POS,3,04/01/2010
POS,5,05/01/2010
POS,13,06/01/2010
POS,36,07/01/2010
POS,31,08/01/2010
POS,12,09/01/2010
POS,13,10/01/2010
POS,6,11/01/2010
POS,2,12/01/2010
POS,7,01/01/2011
POS,6,02/01/2011
POS,6,03/01/2011
POS,1,04/01/2011
POS,3,05/01/2011
POS,9,06/01/2011
POS,21,07/01/2011
POS,23,08/01/2011
POS,20,09/01/2011
POS,8,10/01/2011
POS,16,11/01/2011
POS,14,12/01/2011
POS,11,01/01/2012
POS,10,02/01/2012
POS,20,03/01/2012
POS,14,04/01/2012
POS,26,05/01/2012
POS,18,06/01/2012
POS,27,07/01/2012
POS,26,08/01/2012
POS,22,09/01/2012
POS,23,10/01/2012
POS,25,11/01/2012
POS,5,12/01/2012
NEG,0,07/01/2008
NEG,1,08/01/2008
NEG,4,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,6,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,4,02/01/2010
NEG,1,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,11,06/01/2010
NEG,19,07/01/2010
NEG,19,08/01/2010
NEG,3,09/01/2010
NEG,5,10/01/2010
NEG,3,11/01/2010
NEG,0,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,6,09/01/2011
NEG,9,10/01/2011
NEG,3,11/01/2011
NEG,5,12/01/2011
NEG,7,01/01/2012
NEG,2,02/01/2012
NEG,5,03/01/2012
NEG,8,04/01/2012
NEG,7,05/01/2012
NEG,9,06/01/2012
NEG,3,07/01/2012
NEG,7,08/01/2012
NEG,8,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,7,12/01/2012
