label,count,month
POS,2,01/01/2007
POS,5,02/01/2007
POS,5,03/01/2007
POS,4,04/01/2007
POS,6,05/01/2007
POS,4,06/01/2007
POS,2,07/01/2007
POS,8,08/01/2007
POS,2,09/01/2007
POS,6,10/01/2007
POS,4,11/01/2007
POS,2,12/01/2007
POS,3,01/01/2008
POS,1,02/01/2008
POS,1,03/01/2008
POS,3,04/01/2008
POS,0,05/01/2008
POS,5,06/01/2008
POS,5,07/01/2008
POS,5,08/01/2008
POS,5,09/01/2008
POS,2,11/01/2008
POS,1,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,5,03/01/2009
POS,7,04/01/2009
POS,3,05/01/2009
POS,3,06/01/2009
POS,5,07/01/2009
POS,9,08/01/2009
POS,4,09/01/2009
POS,4,10/01/2009
POS,3,11/01/2009
POS,2,12/01/2009
POS,7,01/01/2010
POS,9,02/01/2010
POS,4,03/01/2010
POS,3,04/01/2010
POS,2,05/01/2010
POS,3,06/01/2010
POS,5,07/01/2010
POS,5,08/01/2010
POS,4,09/01/2010
POS,10,10/01/2010
POS,6,11/01/2010
POS,4,12/01/2010
POS,4,01/01/2011
POS,10,02/01/2011
POS,18,03/01/2011
POS,16,04/01/2011
POS,5,05/01/2011
POS,8,06/01/2011
POS,16,07/01/2011
POS,14,08/01/2011
POS,20,09/01/2011
POS,12,10/01/2011
POS,6,11/01/2011
POS,4,12/01/2011
POS,11,01/01/2012
POS,7,02/01/2012
POS,13,03/01/2012
POS,14,04/01/2012
POS,20,05/01/2012
POS,17,06/01/2012
POS,20,07/01/2012
POS,22,08/01/2012
POS,21,09/01/2012
POS,10,10/01/2012
POS,23,11/01/2012
POS,6,12/01/2012
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,1,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,3,04/01/2009
NEG,0,05/01/2009
NEG,2,06/01/2009
NEG,3,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,4,06/01/2010
NEG,4,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,4,10/01/2010
NEG,3,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,5,06/01/2011
NEG,3,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,3,11/01/2012
NEG,3,12/01/2012
