label,count,month
POS,1,02/01/2003
POS,1,04/01/2003
POS,1,06/01/2003
POS,0,08/01/2003
POS,1,09/01/2003
POS,2,11/01/2003
POS,2,01/01/2004
POS,0,03/01/2004
POS,1,04/01/2004
POS,1,06/01/2004
POS,1,08/01/2004
POS,1,01/01/2005
POS,0,05/01/2005
POS,1,06/01/2005
POS,2,07/01/2005
POS,3,09/01/2005
POS,1,10/01/2005
POS,2,12/01/2005
POS,0,01/01/2006
POS,1,02/01/2006
POS,2,03/01/2006
POS,2,04/01/2006
POS,3,06/01/2006
POS,1,07/01/2006
POS,2,08/01/2006
POS,1,09/01/2006
POS,1,10/01/2006
POS,1,11/01/2006
POS,2,12/01/2006
POS,1,01/01/2007
POS,3,02/01/2007
POS,1,04/01/2007
POS,4,05/01/2007
POS,1,07/01/2007
POS,2,08/01/2007
POS,3,09/01/2007
POS,1,10/01/2007
POS,1,11/01/2007
POS,2,12/01/2007
POS,2,01/01/2008
POS,3,02/01/2008
POS,1,03/01/2008
POS,2,07/01/2008
POS,1,08/01/2008
POS,2,09/01/2008
POS,2,10/01/2008
POS,1,11/01/2008
POS,1,12/01/2008
POS,3,01/01/2009
POS,1,02/01/2009
POS,1,03/01/2009
POS,2,04/01/2009
POS,3,05/01/2009
POS,1,07/01/2009
POS,3,08/01/2009
POS,3,09/01/2009
POS,3,10/01/2009
POS,1,11/01/2009
POS,3,12/01/2009
POS,1,01/01/2010
POS,5,02/01/2010
POS,1,03/01/2010
POS,4,04/01/2010
POS,3,05/01/2010
POS,2,06/01/2010
POS,2,07/01/2010
POS,2,08/01/2010
POS,3,09/01/2010
POS,3,10/01/2010
POS,5,11/01/2010
POS,9,12/01/2010
POS,29,01/01/2011
POS,15,02/01/2011
POS,19,03/01/2011
POS,15,04/01/2011
POS,31,05/01/2011
POS,9,06/01/2011
POS,16,07/01/2011
POS,23,08/01/2011
POS,19,09/01/2011
POS,22,10/01/2011
POS,18,11/01/2011
POS,17,12/01/2011
POS,15,01/01/2012
POS,7,02/01/2012
POS,12,03/01/2012
POS,10,04/01/2012
POS,9,05/01/2012
POS,11,06/01/2012
POS,17,07/01/2012
POS,11,08/01/2012
POS,9,09/01/2012
POS,18,10/01/2012
POS,12,11/01/2012
POS,8,12/01/2012
NEG,0,02/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,06/01/2004
NEG,0,08/01/2004
NEG,1,01/01/2005
NEG,1,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,1,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,3,07/01/2011
NEG,0,08/01/2011
NEG,5,09/01/2011
NEG,5,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,3,11/01/2012
NEG,0,12/01/2012
