key,value,date
POS,3,02/01/2011
POS,2,03/01/2011
POS,1,05/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,3,08/01/2011
POS,1,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,2,01/01/2012
POS,2,02/01/2012
POS,4,03/01/2012
POS,3,04/01/2012
POS,3,05/01/2012
POS,3,06/01/2012
POS,4,07/01/2012
POS,1,08/01/2012
POS,6,09/01/2012
POS,3,10/01/2012
POS,3,11/01/2012
POS,1,12/01/2012
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
