label,count,month
POS,1,10/01/2009
POS,1,11/01/2009
POS,4,02/01/2010
POS,1,03/01/2010
POS,1,06/01/2010
POS,3,08/01/2010
POS,1,09/01/2010
POS,1,10/01/2010
POS,2,11/01/2010
POS,3,01/01/2011
POS,3,03/01/2011
POS,4,04/01/2011
POS,5,05/01/2011
POS,2,06/01/2011
POS,8,07/01/2011
POS,4,08/01/2011
POS,2,09/01/2011
POS,1,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,1,02/01/2012
POS,3,03/01/2012
POS,2,04/01/2012
POS,4,05/01/2012
POS,6,06/01/2012
POS,2,07/01/2012
POS,5,08/01/2012
POS,2,09/01/2012
POS,3,10/01/2012
POS,2,11/01/2012
POS,2,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,06/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,0,01/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
