key,value,date
POS,1,04/01/2009
POS,2,07/01/2009
POS,2,08/01/2009
POS,2,09/01/2009
POS,2,11/01/2009
POS,1,12/01/2009
POS,1,01/01/2010
POS,2,02/01/2010
POS,3,03/01/2010
POS,3,04/01/2010
POS,1,05/01/2010
POS,2,06/01/2010
POS,3,07/01/2010
POS,3,08/01/2010
POS,0,09/01/2010
POS,3,10/01/2010
POS,0,11/01/2010
POS,1,12/01/2010
POS,1,01/01/2011
POS,2,03/01/2011
POS,1,04/01/2011
POS,5,05/01/2011
POS,17,06/01/2011
POS,13,07/01/2011
POS,23,08/01/2011
POS,12,09/01/2011
POS,30,10/01/2011
POS,16,11/01/2011
POS,19,12/01/2011
POS,15,01/01/2012
POS,15,02/01/2012
POS,12,03/01/2012
POS,31,04/01/2012
POS,39,05/01/2012
POS,28,06/01/2012
POS,28,07/01/2012
POS,38,08/01/2012
POS,25,09/01/2012
POS,50,10/01/2012
POS,28,11/01/2012
POS,28,12/01/2012
NEG,0,04/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,09/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,0,08/01/2011
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,4,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,5,10/01/2012
NEG,6,11/01/2012
NEG,3,12/01/2012
