key,value,date
POS,10,11/01/2011
POS,9,12/01/2011
POS,12,01/01/2012
POS,8,02/01/2012
POS,17,03/01/2012
POS,22,04/01/2012
POS,15,05/01/2012
POS,18,06/01/2012
POS,21,07/01/2012
POS,13,08/01/2012
POS,14,09/01/2012
POS,14,10/01/2012
POS,19,11/01/2012
POS,7,12/01/2012
NEG,2,11/01/2011
NEG,4,12/01/2011
NEG,0,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,4,05/01/2012
NEG,5,06/01/2012
NEG,0,07/01/2012
NEG,3,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
