label,count,month
POS,0,11/01/2010
POS,1,12/01/2010
POS,0,02/01/2011
POS,1,06/01/2011
POS,1,10/01/2011
POS,1,11/01/2011
POS,1,02/01/2012
POS,1,03/01/2012
POS,1,04/01/2012
POS,2,05/01/2012
POS,3,06/01/2012
POS,2,07/01/2012
POS,1,08/01/2012
POS,2,09/01/2012
POS,2,10/01/2012
POS,5,11/01/2012
POS,2,12/01/2012
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,02/01/2011
NEG,1,06/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
