label,count,month
POS,2,02/01/2004
POS,2,04/01/2004
POS,1,07/01/2004
POS,1,08/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,1,11/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,1,02/01/2005
POS,4,03/01/2005
POS,2,04/01/2005
POS,3,05/01/2005
POS,1,06/01/2005
POS,2,07/01/2005
POS,1,08/01/2005
POS,1,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,1,01/01/2006
POS,3,02/01/2006
POS,1,03/01/2006
POS,2,04/01/2006
POS,1,05/01/2006
POS,2,07/01/2006
POS,0,08/01/2006
POS,2,09/01/2006
POS,0,10/01/2006
POS,1,12/01/2006
POS,1,01/01/2007
POS,2,02/01/2007
POS,2,03/01/2007
POS,2,04/01/2007
POS,3,06/01/2007
POS,1,07/01/2007
POS,2,09/01/2007
POS,2,11/01/2007
POS,1,12/01/2007
POS,2,01/01/2008
POS,1,02/01/2008
POS,4,03/01/2008
POS,3,04/01/2008
POS,1,05/01/2008
POS,2,06/01/2008
POS,3,08/01/2008
POS,3,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,1,12/01/2008
POS,5,01/01/2009
POS,5,02/01/2009
POS,4,04/01/2009
POS,1,05/01/2009
POS,2,06/01/2009
POS,5,07/01/2009
POS,3,08/01/2009
POS,1,09/01/2009
POS,3,10/01/2009
POS,5,11/01/2009
POS,13,12/01/2009
POS,49,01/01/2010
POS,61,02/01/2010
POS,65,03/01/2010
POS,61,04/01/2010
POS,36,05/01/2010
POS,23,06/01/2010
POS,35,07/01/2010
POS,45,08/01/2010
POS,25,09/01/2010
POS,39,10/01/2010
POS,28,11/01/2010
POS,23,12/01/2010
POS,22,01/01/2011
POS,30,02/01/2011
POS,30,03/01/2011
POS,27,04/01/2011
POS,32,05/01/2011
POS,31,06/01/2011
POS,41,07/01/2011
POS,33,08/01/2011
POS,27,09/01/2011
POS,31,10/01/2011
POS,36,11/01/2011
POS,34,12/01/2011
POS,32,01/01/2012
POS,31,02/01/2012
POS,40,03/01/2012
POS,32,04/01/2012
POS,50,05/01/2012
POS,37,06/01/2012
POS,31,07/01/2012
POS,36,08/01/2012
POS,27,09/01/2012
POS,27,10/01/2012
POS,38,11/01/2012
POS,20,12/01/2012
NEG,0,02/01/2004
NEG,0,04/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,1,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,2,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,1,10/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,0,09/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,2,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,0,01/01/2009
NEG,2,02/01/2009
NEG,0,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,1,08/01/2009
NEG,2,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,4,01/01/2010
NEG,2,02/01/2010
NEG,8,03/01/2010
NEG,5,04/01/2010
NEG,4,05/01/2010
NEG,3,06/01/2010
NEG,3,07/01/2010
NEG,3,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,3,01/01/2011
NEG,5,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,4,05/01/2011
NEG,5,06/01/2011
NEG,4,07/01/2011
NEG,2,08/01/2011
NEG,4,09/01/2011
NEG,5,10/01/2011
NEG,1,11/01/2011
NEG,4,12/01/2011
NEG,7,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,1,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,2,08/01/2012
NEG,7,09/01/2012
NEG,0,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
