label,count,month
POS,1,09/01/2007
POS,1,11/01/2007
POS,2,08/01/2008
POS,1,11/01/2008
POS,1,05/01/2009
POS,1,07/01/2009
POS,1,08/01/2009
POS,1,05/01/2010
POS,1,09/01/2010
POS,2,03/01/2011
POS,1,06/01/2011
POS,1,07/01/2011
POS,2,09/01/2011
POS,1,10/01/2011
POS,3,11/01/2011
POS,1,12/01/2011
POS,2,03/01/2012
POS,4,05/01/2012
POS,3,06/01/2012
POS,2,07/01/2012
POS,1,08/01/2012
POS,1,09/01/2012
POS,1,10/01/2012
POS,5,11/01/2012
NEG,0,09/01/2007
NEG,0,11/01/2007
NEG,0,08/01/2008
NEG,0,11/01/2008
NEG,0,05/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,0,05/01/2010
NEG,0,09/01/2010
NEG,0,03/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,03/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
