key,value,date
POS,4,02/01/2011
POS,10,03/01/2011
POS,9,04/01/2011
POS,5,05/01/2011
POS,16,06/01/2011
POS,19,07/01/2011
POS,26,08/01/2011
POS,28,09/01/2011
POS,27,10/01/2011
POS,17,11/01/2011
POS,19,12/01/2011
POS,18,01/01/2012
POS,11,02/01/2012
POS,18,03/01/2012
POS,26,04/01/2012
POS,18,05/01/2012
POS,18,06/01/2012
POS,31,07/01/2012
POS,24,08/01/2012
POS,25,09/01/2012
POS,28,10/01/2012
POS,23,11/01/2012
POS,16,12/01/2012
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
