label,count,month
POS,0,07/01/2003
POS,0,02/01/2004
POS,0,08/01/2004
POS,0,05/01/2005
POS,0,08/01/2005
POS,0,09/01/2005
POS,0,01/01/2006
POS,0,08/01/2006
POS,0,01/01/2011
POS,0,03/01/2011
POS,3,08/01/2011
POS,0,12/01/2011
POS,0,02/01/2012
POS,0,03/01/2012
POS,0,05/01/2012
POS,0,06/01/2012
POS,0,07/01/2012
POS,3,08/01/2012
POS,0,11/01/2012
NEG,1,07/01/2003
NEG,1,02/01/2004
NEG,2,08/01/2004
NEG,1,05/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,1,01/01/2006
NEG,1,08/01/2006
NEG,1,01/01/2011
NEG,1,03/01/2011
NEG,0,08/01/2011
NEG,1,12/01/2011
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,0,08/01/2012
NEG,2,11/01/2012
