label,count,month
POS,4,05/01/2011
POS,4,06/01/2011
POS,2,07/01/2011
POS,9,08/01/2011
POS,7,09/01/2011
POS,3,10/01/2011
POS,4,11/01/2011
POS,5,12/01/2011
POS,8,01/01/2012
POS,6,02/01/2012
POS,9,03/01/2012
POS,8,04/01/2012
POS,15,05/01/2012
POS,5,06/01/2012
POS,9,07/01/2012
POS,11,08/01/2012
POS,6,09/01/2012
POS,6,10/01/2012
POS,10,11/01/2012
POS,5,12/01/2012
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,6,08/01/2012
NEG,1,09/01/2012
NEG,2,10/01/2012
NEG,5,11/01/2012
NEG,0,12/01/2012
