key,value,date
POS,0,09/01/2010
POS,5,10/01/2010
POS,1,11/01/2010
POS,2,12/01/2010
POS,6,01/01/2011
POS,12,02/01/2011
POS,4,03/01/2011
POS,7,04/01/2011
POS,7,05/01/2011
POS,9,06/01/2011
POS,7,07/01/2011
POS,17,08/01/2011
POS,10,09/01/2011
POS,8,10/01/2011
POS,12,11/01/2011
POS,16,12/01/2011
POS,14,01/01/2012
POS,8,02/01/2012
POS,20,03/01/2012
POS,14,04/01/2012
POS,12,05/01/2012
POS,30,06/01/2012
POS,17,07/01/2012
POS,15,08/01/2012
POS,18,09/01/2012
POS,24,10/01/2012
POS,16,11/01/2012
POS,12,12/01/2012
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,3,03/01/2011
NEG,5,04/01/2011
NEG,5,05/01/2011
NEG,6,06/01/2011
NEG,3,07/01/2011
NEG,10,08/01/2011
NEG,9,09/01/2011
NEG,2,10/01/2011
NEG,1,11/01/2011
NEG,4,12/01/2011
NEG,7,01/01/2012
NEG,3,02/01/2012
NEG,5,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,5,06/01/2012
NEG,5,07/01/2012
NEG,18,08/01/2012
NEG,15,09/01/2012
NEG,2,10/01/2012
NEG,8,11/01/2012
NEG,0,12/01/2012
