label,count,month
POS,0,01/01/2008
POS,3,02/01/2008
POS,2,03/01/2008
POS,3,04/01/2008
POS,7,05/01/2008
POS,3,06/01/2008
POS,5,07/01/2008
POS,0,08/01/2008
POS,1,09/01/2008
POS,4,10/01/2008
POS,5,11/01/2008
POS,2,12/01/2008
POS,3,01/01/2009
POS,5,02/01/2009
POS,4,03/01/2009
POS,3,04/01/2009
POS,3,05/01/2009
POS,7,06/01/2009
POS,4,07/01/2009
POS,2,08/01/2009
POS,9,09/01/2009
POS,3,10/01/2009
POS,3,11/01/2009
POS,1,12/01/2009
POS,7,01/01/2010
POS,1,02/01/2010
POS,4,03/01/2010
POS,1,04/01/2010
POS,3,05/01/2010
POS,5,06/01/2010
POS,4,07/01/2010
POS,5,08/01/2010
POS,3,09/01/2010
POS,5,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,7,01/01/2011
POS,6,02/01/2011
POS,6,03/01/2011
POS,11,04/01/2011
POS,11,05/01/2011
POS,9,06/01/2011
POS,14,07/01/2011
POS,10,08/01/2011
POS,12,09/01/2011
POS,11,10/01/2011
POS,8,11/01/2011
POS,9,12/01/2011
POS,8,01/01/2012
POS,7,02/01/2012
POS,4,03/01/2012
POS,17,04/01/2012
POS,10,05/01/2012
POS,7,06/01/2012
POS,9,07/01/2012
POS,2,08/01/2012
POS,9,09/01/2012
POS,5,10/01/2012
POS,10,11/01/2012
POS,1,12/01/2012
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,2,04/01/2008
NEG,3,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,3,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,4,03/01/2009
NEG,2,04/01/2009
NEG,3,05/01/2009
NEG,4,06/01/2009
NEG,8,07/01/2009
NEG,3,08/01/2009
NEG,5,09/01/2009
NEG,4,10/01/2009
NEG,2,11/01/2009
NEG,1,12/01/2009
NEG,5,01/01/2010
NEG,3,02/01/2010
NEG,1,03/01/2010
NEG,0,04/01/2010
NEG,4,05/01/2010
NEG,3,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,4,10/01/2010
NEG,3,11/01/2010
NEG,2,12/01/2010
NEG,11,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,2,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,12,08/01/2011
NEG,3,09/01/2011
NEG,6,10/01/2011
NEG,2,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,6,04/01/2012
NEG,4,05/01/2012
NEG,6,06/01/2012
NEG,5,07/01/2012
NEG,6,08/01/2012
NEG,3,09/01/2012
NEG,5,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
