key,value,date
POS,1,06/01/2003
POS,0,08/01/2003
POS,0,10/01/2003
POS,2,01/01/2004
POS,2,02/01/2004
POS,1,03/01/2004
POS,1,04/01/2004
POS,0,06/01/2004
POS,1,07/01/2004
POS,6,08/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,3,01/01/2005
POS,1,02/01/2005
POS,1,03/01/2005
POS,1,04/01/2005
POS,2,05/01/2005
POS,0,06/01/2005
POS,1,07/01/2005
POS,0,08/01/2005
POS,2,09/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,1,02/01/2006
POS,1,03/01/2006
POS,2,04/01/2006
POS,1,05/01/2006
POS,3,06/01/2006
POS,2,07/01/2006
POS,3,08/01/2006
POS,4,09/01/2006
POS,6,10/01/2006
POS,3,12/01/2006
POS,1,01/01/2007
POS,1,02/01/2007
POS,3,03/01/2007
POS,2,04/01/2007
POS,3,05/01/2007
POS,2,06/01/2007
POS,2,07/01/2007
POS,1,08/01/2007
POS,2,09/01/2007
POS,2,10/01/2007
POS,3,11/01/2007
POS,3,12/01/2007
POS,4,01/01/2008
POS,1,02/01/2008
POS,1,03/01/2008
POS,1,04/01/2008
POS,2,05/01/2008
POS,0,07/01/2008
POS,4,08/01/2008
POS,1,09/01/2008
POS,1,10/01/2008
POS,1,11/01/2008
POS,1,12/01/2008
POS,2,01/01/2009
POS,2,02/01/2009
POS,5,03/01/2009
POS,3,04/01/2009
POS,3,05/01/2009
POS,5,06/01/2009
POS,3,07/01/2009
POS,5,08/01/2009
POS,3,09/01/2009
POS,3,10/01/2009
POS,6,11/01/2009
POS,5,12/01/2009
POS,11,01/01/2010
POS,6,02/01/2010
POS,1,03/01/2010
POS,9,04/01/2010
POS,8,05/01/2010
POS,10,06/01/2010
POS,8,07/01/2010
POS,10,08/01/2010
POS,11,09/01/2010
POS,13,10/01/2010
POS,10,11/01/2010
POS,12,12/01/2010
POS,14,01/01/2011
POS,14,02/01/2011
POS,17,03/01/2011
POS,20,04/01/2011
POS,31,05/01/2011
POS,33,06/01/2011
POS,22,07/01/2011
POS,34,08/01/2011
POS,32,09/01/2011
POS,37,10/01/2011
POS,32,11/01/2011
POS,22,12/01/2011
POS,28,01/01/2012
POS,40,02/01/2012
POS,30,03/01/2012
POS,24,04/01/2012
POS,32,05/01/2012
POS,41,06/01/2012
POS,39,07/01/2012
POS,30,08/01/2012
POS,27,09/01/2012
POS,39,10/01/2012
POS,24,11/01/2012
POS,22,12/01/2012
NEG,0,06/01/2003
NEG,1,08/01/2003
NEG,1,10/01/2003
NEG,0,01/01/2004
NEG,1,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,2,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,3,04/01/2005
NEG,1,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,02/01/2006
NEG,3,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,2,10/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,4,07/01/2007
NEG,2,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,3,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,2,05/01/2008
NEG,2,07/01/2008
NEG,1,08/01/2008
NEG,3,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,1,04/01/2009
NEG,5,05/01/2009
NEG,1,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,3,09/01/2009
NEG,7,10/01/2009
NEG,6,11/01/2009
NEG,1,12/01/2009
NEG,3,01/01/2010
NEG,5,02/01/2010
NEG,2,03/01/2010
NEG,2,04/01/2010
NEG,4,05/01/2010
NEG,8,06/01/2010
NEG,5,07/01/2010
NEG,7,08/01/2010
NEG,10,09/01/2010
NEG,5,10/01/2010
NEG,4,11/01/2010
NEG,2,12/01/2010
NEG,7,01/01/2011
NEG,3,02/01/2011
NEG,8,03/01/2011
NEG,12,04/01/2011
NEG,10,05/01/2011
NEG,14,06/01/2011
NEG,16,07/01/2011
NEG,12,08/01/2011
NEG,13,09/01/2011
NEG,15,10/01/2011
NEG,13,11/01/2011
NEG,10,12/01/2011
NEG,11,01/01/2012
NEG,10,02/01/2012
NEG,13,03/01/2012
NEG,8,04/01/2012
NEG,12,05/01/2012
NEG,7,06/01/2012
NEG,7,07/01/2012
NEG,9,08/01/2012
NEG,9,09/01/2012
NEG,10,10/01/2012
NEG,4,11/01/2012
NEG,6,12/01/2012
