label,count,month
POS,1,06/01/2003
POS,2,07/01/2003
POS,1,11/01/2003
POS,1,12/01/2003
POS,2,01/01/2004
POS,1,02/01/2004
POS,0,03/01/2004
POS,1,04/01/2004
POS,0,05/01/2004
POS,2,07/01/2004
POS,1,09/01/2004
POS,2,10/01/2004
POS,2,11/01/2004
POS,0,12/01/2004
POS,3,01/01/2005
POS,3,03/01/2005
POS,2,04/01/2005
POS,1,05/01/2005
POS,5,06/01/2005
POS,2,08/01/2005
POS,1,09/01/2005
POS,0,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,3,01/01/2006
POS,3,02/01/2006
POS,1,03/01/2006
POS,1,04/01/2006
POS,3,05/01/2006
POS,1,06/01/2006
POS,1,08/01/2006
POS,1,09/01/2006
POS,3,10/01/2006
POS,2,11/01/2006
POS,4,01/01/2007
POS,3,02/01/2007
POS,5,03/01/2007
POS,1,04/01/2007
POS,3,05/01/2007
POS,3,06/01/2007
POS,4,07/01/2007
POS,5,08/01/2007
POS,4,09/01/2007
POS,5,10/01/2007
POS,4,11/01/2007
POS,1,12/01/2007
POS,6,01/01/2008
POS,5,02/01/2008
POS,1,03/01/2008
POS,4,04/01/2008
POS,3,05/01/2008
POS,3,06/01/2008
POS,12,07/01/2008
POS,9,08/01/2008
POS,10,09/01/2008
POS,7,10/01/2008
POS,6,11/01/2008
POS,0,12/01/2008
POS,2,01/01/2009
POS,6,02/01/2009
POS,3,03/01/2009
POS,1,04/01/2009
POS,7,05/01/2009
POS,8,06/01/2009
POS,10,07/01/2009
POS,3,08/01/2009
POS,10,09/01/2009
POS,7,10/01/2009
POS,4,11/01/2009
POS,5,12/01/2009
POS,10,01/01/2010
POS,11,02/01/2010
POS,4,03/01/2010
POS,9,04/01/2010
POS,8,05/01/2010
POS,13,06/01/2010
POS,16,07/01/2010
POS,10,08/01/2010
POS,7,09/01/2010
POS,13,10/01/2010
POS,8,11/01/2010
POS,10,12/01/2010
POS,11,01/01/2011
POS,10,02/01/2011
POS,9,03/01/2011
POS,5,04/01/2011
POS,5,05/01/2011
POS,15,06/01/2011
POS,15,07/01/2011
POS,36,08/01/2011
POS,25,09/01/2011
POS,22,10/01/2011
POS,20,11/01/2011
POS,21,12/01/2011
POS,39,01/01/2012
POS,20,02/01/2012
POS,23,03/01/2012
POS,17,04/01/2012
POS,25,05/01/2012
POS,27,06/01/2012
POS,23,07/01/2012
POS,30,08/01/2012
POS,24,09/01/2012
POS,24,10/01/2012
POS,44,11/01/2012
POS,15,12/01/2012
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,2,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,1,07/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,3,11/01/2004
NEG,2,12/01/2004
NEG,0,01/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,2,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,3,11/01/2007
NEG,1,12/01/2007
NEG,2,01/01/2008
NEG,4,02/01/2008
NEG,3,03/01/2008
NEG,1,04/01/2008
NEG,3,05/01/2008
NEG,3,06/01/2008
NEG,2,07/01/2008
NEG,4,08/01/2008
NEG,3,09/01/2008
NEG,3,10/01/2008
NEG,4,11/01/2008
NEG,2,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,3,04/01/2009
NEG,3,05/01/2009
NEG,3,06/01/2009
NEG,5,07/01/2009
NEG,7,08/01/2009
NEG,8,09/01/2009
NEG,3,10/01/2009
NEG,3,11/01/2009
NEG,4,12/01/2009
NEG,2,01/01/2010
NEG,5,02/01/2010
NEG,4,03/01/2010
NEG,6,04/01/2010
NEG,6,05/01/2010
NEG,7,06/01/2010
NEG,11,07/01/2010
NEG,15,08/01/2010
NEG,7,09/01/2010
NEG,12,10/01/2010
NEG,11,11/01/2010
NEG,8,12/01/2010
NEG,12,01/01/2011
NEG,16,02/01/2011
NEG,5,03/01/2011
NEG,3,04/01/2011
NEG,7,05/01/2011
NEG,6,06/01/2011
NEG,12,07/01/2011
NEG,24,08/01/2011
NEG,17,09/01/2011
NEG,15,10/01/2011
NEG,13,11/01/2011
NEG,9,12/01/2011
NEG,11,01/01/2012
NEG,8,02/01/2012
NEG,10,03/01/2012
NEG,11,04/01/2012
NEG,12,05/01/2012
NEG,9,06/01/2012
NEG,27,07/01/2012
NEG,18,08/01/2012
NEG,20,09/01/2012
NEG,20,10/01/2012
NEG,11,11/01/2012
NEG,6,12/01/2012
