label,count,month
POS,1,07/01/2008
POS,4,08/01/2008
POS,2,09/01/2008
POS,5,10/01/2008
POS,7,11/01/2008
POS,1,12/01/2008
POS,5,01/01/2009
POS,5,02/01/2009
POS,7,03/01/2009
POS,11,04/01/2009
POS,7,05/01/2009
POS,7,06/01/2009
POS,7,07/01/2009
POS,18,08/01/2009
POS,11,09/01/2009
POS,12,10/01/2009
POS,6,11/01/2009
POS,9,12/01/2009
POS,13,01/01/2010
POS,7,02/01/2010
POS,9,03/01/2010
POS,11,04/01/2010
POS,10,05/01/2010
POS,14,06/01/2010
POS,15,07/01/2010
POS,16,08/01/2010
POS,14,09/01/2010
POS,19,10/01/2010
POS,11,11/01/2010
POS,5,12/01/2010
POS,7,01/01/2011
POS,6,02/01/2011
POS,21,03/01/2011
POS,15,04/01/2011
POS,16,05/01/2011
POS,14,06/01/2011
POS,18,07/01/2011
POS,18,08/01/2011
POS,22,09/01/2011
POS,15,10/01/2011
POS,16,11/01/2011
POS,11,12/01/2011
POS,22,01/01/2012
POS,9,02/01/2012
POS,19,03/01/2012
POS,22,04/01/2012
POS,11,05/01/2012
POS,15,06/01/2012
POS,21,07/01/2012
POS,22,08/01/2012
POS,22,09/01/2012
POS,15,10/01/2012
POS,12,11/01/2012
POS,15,12/01/2012
NEG,0,07/01/2008
NEG,2,08/01/2008
NEG,2,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,0,08/01/2009
NEG,2,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,3,12/01/2009
NEG,4,01/01/2010
NEG,4,02/01/2010
NEG,0,03/01/2010
NEG,4,04/01/2010
NEG,3,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,4,08/01/2010
NEG,4,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,8,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,3,05/01/2011
NEG,5,06/01/2011
NEG,5,07/01/2011
NEG,9,08/01/2011
NEG,6,09/01/2011
NEG,3,10/01/2011
NEG,8,11/01/2011
NEG,0,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,1,03/01/2012
NEG,5,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,6,08/01/2012
NEG,2,09/01/2012
NEG,4,10/01/2012
NEG,5,11/01/2012
NEG,1,12/01/2012
