key,value,date
POS,1,05/01/2010
POS,1,06/01/2010
POS,2,07/01/2010
POS,4,08/01/2010
POS,6,09/01/2010
POS,7,10/01/2010
POS,2,11/01/2010
POS,4,12/01/2010
POS,4,01/01/2011
POS,2,02/01/2011
POS,2,03/01/2011
POS,6,04/01/2011
POS,5,05/01/2011
POS,3,06/01/2011
POS,6,07/01/2011
POS,5,08/01/2011
POS,5,09/01/2011
POS,3,10/01/2011
POS,3,11/01/2011
POS,1,12/01/2011
POS,6,01/01/2012
POS,4,02/01/2012
POS,3,03/01/2012
POS,3,04/01/2012
POS,4,05/01/2012
POS,2,06/01/2012
POS,4,07/01/2012
POS,8,08/01/2012
POS,4,09/01/2012
POS,3,10/01/2012
POS,3,11/01/2012
POS,3,12/01/2012
NEG,0,05/01/2010
NEG,3,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,5,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,6,05/01/2011
NEG,4,06/01/2011
NEG,2,07/01/2011
NEG,5,08/01/2011
NEG,5,09/01/2011
NEG,4,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,6,01/01/2012
NEG,3,02/01/2012
NEG,2,03/01/2012
NEG,7,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,3,08/01/2012
NEG,0,09/01/2012
NEG,2,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
