label,count,month
POS,0,06/01/2002
POS,1,08/01/2002
POS,1,10/01/2002
POS,1,04/01/2003
POS,1,05/01/2003
POS,2,06/01/2003
POS,1,07/01/2003
POS,0,08/01/2003
POS,2,09/01/2003
POS,1,10/01/2003
POS,1,12/01/2003
POS,3,01/01/2004
POS,3,02/01/2004
POS,4,03/01/2004
POS,2,04/01/2004
POS,1,05/01/2004
POS,2,06/01/2004
POS,2,07/01/2004
POS,1,08/01/2004
POS,0,09/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,0,12/01/2004
POS,2,01/01/2005
POS,1,02/01/2005
POS,7,03/01/2005
POS,2,04/01/2005
POS,6,05/01/2005
POS,2,06/01/2005
POS,6,07/01/2005
POS,8,08/01/2005
POS,1,09/01/2005
POS,4,10/01/2005
POS,3,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,1,02/01/2006
POS,1,03/01/2006
POS,6,04/01/2006
POS,2,05/01/2006
POS,3,06/01/2006
POS,4,07/01/2006
POS,6,08/01/2006
POS,8,09/01/2006
POS,6,10/01/2006
POS,4,11/01/2006
POS,0,12/01/2006
POS,4,01/01/2007
POS,3,02/01/2007
POS,4,03/01/2007
POS,1,04/01/2007
POS,7,05/01/2007
POS,4,06/01/2007
POS,7,07/01/2007
POS,4,08/01/2007
POS,10,09/01/2007
POS,5,10/01/2007
POS,2,11/01/2007
POS,4,12/01/2007
POS,4,01/01/2008
POS,4,02/01/2008
POS,1,03/01/2008
POS,5,04/01/2008
POS,4,05/01/2008
POS,4,06/01/2008
POS,6,07/01/2008
POS,4,08/01/2008
POS,5,09/01/2008
POS,4,10/01/2008
POS,4,11/01/2008
POS,4,12/01/2008
POS,5,01/01/2009
POS,5,02/01/2009
POS,1,03/01/2009
POS,3,04/01/2009
POS,4,05/01/2009
POS,7,06/01/2009
POS,2,07/01/2009
POS,4,08/01/2009
POS,10,09/01/2009
POS,4,10/01/2009
POS,8,11/01/2009
POS,5,12/01/2009
POS,5,01/01/2010
POS,4,02/01/2010
POS,4,03/01/2010
POS,9,04/01/2010
POS,6,05/01/2010
POS,10,06/01/2010
POS,5,07/01/2010
POS,16,08/01/2010
POS,4,09/01/2010
POS,11,10/01/2010
POS,10,11/01/2010
POS,2,12/01/2010
POS,3,01/01/2011
POS,2,02/01/2011
POS,13,03/01/2011
POS,18,04/01/2011
POS,12,05/01/2011
POS,7,06/01/2011
POS,18,07/01/2011
POS,18,08/01/2011
POS,22,09/01/2011
POS,11,10/01/2011
POS,15,11/01/2011
POS,7,12/01/2011
POS,15,01/01/2012
POS,18,02/01/2012
POS,21,03/01/2012
POS,28,04/01/2012
POS,24,05/01/2012
POS,28,06/01/2012
POS,29,07/01/2012
POS,17,08/01/2012
POS,22,09/01/2012
POS,32,10/01/2012
POS,20,11/01/2012
POS,11,12/01/2012
NEG,1,06/01/2002
NEG,0,08/01/2002
NEG,0,10/01/2002
NEG,1,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,1,08/01/2003
NEG,1,09/01/2003
NEG,2,10/01/2003
NEG,0,12/01/2003
NEG,2,01/01/2004
NEG,2,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,3,06/01/2004
NEG,0,07/01/2004
NEG,2,08/01/2004
NEG,1,09/01/2004
NEG,1,10/01/2004
NEG,1,11/01/2004
NEG,1,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,2,03/01/2005
NEG,2,04/01/2005
NEG,2,05/01/2005
NEG,2,06/01/2005
NEG,3,07/01/2005
NEG,6,08/01/2005
NEG,3,09/01/2005
NEG,2,10/01/2005
NEG,2,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,2,06/01/2006
NEG,3,07/01/2006
NEG,3,08/01/2006
NEG,2,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,2,01/01/2007
NEG,3,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,3,06/01/2007
NEG,3,07/01/2007
