key,value,date
POS,0,06/01/2008
POS,1,12/01/2008
POS,1,01/01/2009
POS,1,02/01/2009
POS,4,03/01/2009
POS,1,04/01/2009
POS,0,05/01/2009
POS,4,06/01/2009
POS,4,07/01/2009
POS,4,08/01/2009
POS,4,09/01/2009
POS,6,10/01/2009
POS,2,11/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,6,03/01/2010
POS,6,04/01/2010
POS,2,05/01/2010
POS,4,06/01/2010
POS,10,07/01/2010
POS,5,08/01/2010
POS,3,09/01/2010
POS,5,10/01/2010
POS,13,11/01/2010
POS,4,12/01/2010
POS,6,01/01/2011
POS,7,02/01/2011
POS,6,03/01/2011
POS,13,04/01/2011
POS,3,05/01/2011
POS,7,06/01/2011
POS,6,07/01/2011
POS,19,08/01/2011
POS,18,09/01/2011
POS,9,10/01/2011
POS,10,11/01/2011
POS,7,12/01/2011
POS,10,01/01/2012
POS,10,02/01/2012
POS,8,03/01/2012
POS,10,04/01/2012
POS,7,05/01/2012
POS,13,06/01/2012
POS,17,07/01/2012
POS,20,08/01/2012
POS,14,09/01/2012
POS,19,10/01/2012
POS,14,11/01/2012
POS,6,12/01/2012
NEG,1,06/01/2008
NEG,0,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,0,04/01/2009
NEG,2,05/01/2009
NEG,1,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,3,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,3,04/01/2010
NEG,1,05/01/2010
NEG,4,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,3,09/01/2010
NEG,3,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,2,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,4,07/01/2011
NEG,5,08/01/2011
NEG,3,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,4,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
