label,count,month
POS,6,05/01/2008
POS,9,06/01/2008
POS,13,07/01/2008
POS,20,08/01/2008
POS,9,09/01/2008
POS,8,10/01/2008
POS,10,11/01/2008
POS,4,12/01/2008
POS,8,01/01/2009
POS,8,02/01/2009
POS,5,03/01/2009
POS,9,04/01/2009
POS,7,05/01/2009
POS,7,06/01/2009
POS,12,07/01/2009
POS,11,08/01/2009
POS,13,09/01/2009
POS,8,10/01/2009
POS,3,11/01/2009
POS,9,12/01/2009
POS,7,01/01/2010
POS,6,02/01/2010
POS,5,03/01/2010
POS,6,04/01/2010
POS,8,05/01/2010
POS,7,06/01/2010
POS,3,07/01/2010
POS,10,08/01/2010
POS,14,09/01/2010
POS,7,10/01/2010
POS,7,11/01/2010
POS,5,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,9,03/01/2011
POS,8,04/01/2011
POS,12,05/01/2011
POS,9,06/01/2011
POS,10,07/01/2011
POS,18,08/01/2011
POS,16,09/01/2011
POS,11,10/01/2011
POS,8,11/01/2011
POS,12,12/01/2011
POS,14,01/01/2012
POS,18,02/01/2012
POS,14,03/01/2012
POS,18,04/01/2012
POS,13,05/01/2012
POS,12,06/01/2012
POS,12,07/01/2012
POS,17,08/01/2012
POS,16,09/01/2012
POS,12,10/01/2012
POS,12,11/01/2012
POS,9,12/01/2012
NEG,0,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,1,04/01/2009
NEG,6,05/01/2009
NEG,2,06/01/2009
NEG,6,07/01/2009
NEG,3,08/01/2009
NEG,4,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,0,11/01/2010
NEG,1,12/01/2010
NEG,6,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,1,05/01/2012
NEG,5,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,0,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
