key,value,date
POS,1,02/01/2010
POS,4,03/01/2010
POS,3,04/01/2010
POS,6,05/01/2010
POS,6,06/01/2010
POS,4,07/01/2010
POS,6,08/01/2010
POS,3,09/01/2010
POS,7,10/01/2010
POS,6,11/01/2010
POS,7,12/01/2010
POS,8,01/01/2011
POS,7,02/01/2011
POS,6,03/01/2011
POS,8,04/01/2011
POS,6,05/01/2011
POS,8,06/01/2011
POS,9,07/01/2011
POS,16,08/01/2011
POS,15,09/01/2011
POS,8,10/01/2011
POS,19,11/01/2011
POS,7,12/01/2011
POS,24,01/01/2012
POS,18,02/01/2012
POS,14,03/01/2012
POS,20,04/01/2012
POS,21,05/01/2012
POS,21,06/01/2012
POS,19,07/01/2012
POS,23,08/01/2012
POS,25,09/01/2012
POS,24,10/01/2012
POS,14,11/01/2012
POS,6,12/01/2012
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,0,05/01/2010
NEG,3,06/01/2010
NEG,4,07/01/2010
NEG,4,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,3,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,6,06/01/2011
NEG,4,07/01/2011
NEG,2,08/01/2011
NEG,3,09/01/2011
NEG,1,10/01/2011
NEG,3,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,6,04/01/2012
NEG,7,05/01/2012
NEG,4,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,5,11/01/2012
NEG,4,12/01/2012
