label,count,month
POS,4,06/01/2011
POS,10,07/01/2011
POS,11,08/01/2011
POS,4,09/01/2011
POS,12,10/01/2011
POS,9,11/01/2011
POS,5,12/01/2011
POS,10,01/01/2012
POS,8,02/01/2012
POS,9,03/01/2012
POS,3,04/01/2012
POS,3,05/01/2012
POS,4,06/01/2012
POS,7,07/01/2012
POS,6,08/01/2012
POS,8,09/01/2012
POS,12,10/01/2012
POS,11,11/01/2012
POS,3,12/01/2012
NEG,3,06/01/2011
NEG,2,07/01/2011
NEG,5,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,2,11/01/2011
NEG,2,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,2,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,5,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
