label,count,month
POS,1,11/01/2008
POS,2,12/01/2008
POS,1,01/01/2009
POS,2,02/01/2009
POS,6,03/01/2009
POS,3,04/01/2009
POS,2,05/01/2009
POS,2,06/01/2009
POS,2,07/01/2009
POS,6,08/01/2009
POS,13,09/01/2009
POS,11,10/01/2009
POS,7,11/01/2009
POS,2,12/01/2009
POS,3,01/01/2010
POS,5,02/01/2010
POS,5,03/01/2010
POS,9,04/01/2010
POS,3,05/01/2010
POS,7,06/01/2010
POS,6,07/01/2010
POS,9,08/01/2010
POS,8,09/01/2010
POS,3,10/01/2010
POS,8,11/01/2010
POS,16,12/01/2010
POS,9,01/01/2011
POS,10,02/01/2011
POS,8,03/01/2011
POS,12,04/01/2011
POS,6,05/01/2011
POS,8,06/01/2011
POS,13,07/01/2011
POS,10,08/01/2011
POS,22,09/01/2011
POS,10,10/01/2011
POS,16,11/01/2011
POS,13,12/01/2011
POS,13,01/01/2012
POS,14,02/01/2012
POS,25,03/01/2012
POS,29,04/01/2012
POS,20,05/01/2012
POS,21,06/01/2012
POS,19,07/01/2012
POS,23,08/01/2012
POS,22,09/01/2012
POS,9,10/01/2012
POS,24,11/01/2012
POS,8,12/01/2012
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,0,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,2,04/01/2009
NEG,2,05/01/2009
NEG,0,06/01/2009
NEG,2,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,4,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,3,11/01/2010
NEG,4,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,5,01/01/2012
NEG,5,02/01/2012
NEG,6,03/01/2012
NEG,2,04/01/2012
NEG,6,05/01/2012
NEG,6,06/01/2012
NEG,4,07/01/2012
NEG,8,08/01/2012
NEG,7,09/01/2012
NEG,6,10/01/2012
NEG,6,11/01/2012
NEG,1,12/01/2012
