label,count,month
POS,2,10/01/2009
POS,1,11/01/2009
POS,2,01/01/2010
POS,5,02/01/2010
POS,1,03/01/2010
POS,1,04/01/2010
POS,8,05/01/2010
POS,5,06/01/2010
POS,3,07/01/2010
POS,2,08/01/2010
POS,6,09/01/2010
POS,0,10/01/2010
POS,6,11/01/2010
POS,2,12/01/2010
POS,3,01/01/2011
POS,2,02/01/2011
POS,2,03/01/2011
POS,2,04/01/2011
POS,3,05/01/2011
POS,2,06/01/2011
POS,6,07/01/2011
POS,6,08/01/2011
POS,2,09/01/2011
POS,1,10/01/2011
POS,5,11/01/2011
POS,4,12/01/2011
POS,1,01/01/2012
POS,2,02/01/2012
POS,5,03/01/2012
POS,5,04/01/2012
POS,5,05/01/2012
POS,2,06/01/2012
POS,2,07/01/2012
POS,0,08/01/2012
POS,1,09/01/2012
POS,1,10/01/2012
POS,1,11/01/2012
POS,1,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,0,07/01/2011
NEG,8,08/01/2011
NEG,4,09/01/2011
NEG,5,10/01/2011
NEG,1,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,1,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
