key,value,date
POS,1,11/01/2001
POS,1,05/01/2003
POS,1,08/01/2003
POS,1,01/01/2004
POS,1,05/01/2004
POS,2,08/01/2004
POS,2,09/01/2004
POS,1,10/01/2004
POS,1,11/01/2004
POS,3,02/01/2005
POS,1,03/01/2005
POS,9,04/01/2005
POS,2,06/01/2005
POS,3,07/01/2005
POS,6,08/01/2005
POS,3,09/01/2005
POS,1,10/01/2005
POS,5,11/01/2005
POS,3,12/01/2005
POS,1,01/01/2006
POS,4,03/01/2006
POS,0,04/01/2006
POS,4,05/01/2006
POS,2,06/01/2006
POS,1,07/01/2006
POS,3,08/01/2006
POS,2,09/01/2006
POS,3,10/01/2006
POS,2,11/01/2006
POS,3,01/01/2007
POS,3,03/01/2007
POS,5,04/01/2007
POS,5,05/01/2007
POS,6,06/01/2007
POS,5,07/01/2007
POS,8,08/01/2007
POS,2,09/01/2007
POS,3,10/01/2007
POS,3,11/01/2007
POS,2,12/01/2007
POS,4,01/01/2008
POS,1,02/01/2008
POS,8,03/01/2008
POS,5,04/01/2008
POS,4,05/01/2008
POS,5,06/01/2008
POS,4,07/01/2008
POS,7,08/01/2008
POS,4,09/01/2008
POS,1,10/01/2008
POS,2,11/01/2008
POS,3,12/01/2008
POS,6,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,3,04/01/2009
POS,6,05/01/2009
POS,6,06/01/2009
POS,6,07/01/2009
POS,4,08/01/2009
POS,1,09/01/2009
POS,8,10/01/2009
POS,3,11/01/2009
POS,5,12/01/2009
POS,7,01/01/2010
POS,4,02/01/2010
POS,11,03/01/2010
POS,12,04/01/2010
POS,11,05/01/2010
POS,12,06/01/2010
POS,11,07/01/2010
POS,14,08/01/2010
POS,10,09/01/2010
POS,17,10/01/2010
POS,19,11/01/2010
POS,15,12/01/2010
POS,23,01/01/2011
POS,17,02/01/2011
POS,22,03/01/2011
POS,20,04/01/2011
POS,26,05/01/2011
POS,39,06/01/2011
POS,37,07/01/2011
POS,64,08/01/2011
POS,56,09/01/2011
POS,40,10/01/2011
POS,24,11/01/2011
POS,23,12/01/2011
POS,22,01/01/2012
POS,19,02/01/2012
POS,29,03/01/2012
POS,44,04/01/2012
POS,27,05/01/2012
POS,26,06/01/2012
POS,40,07/01/2012
POS,30,08/01/2012
POS,33,09/01/2012
POS,32,10/01/2012
POS,14,11/01/2012
POS,14,12/01/2012
NEG,0,11/01/2001
NEG,0,05/01/2003
NEG,0,08/01/2003
NEG,0,01/01/2004
NEG,0,05/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,1,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,2,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,2,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,01/01/2007
NEG,2,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,3,07/01/2007
NEG,0,08/01/2007
NEG,2,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,3,03/01/2008
NEG,4,04/01/2008
NEG,4,05/01/2008
NEG,4,06/01/2008
NEG,5,07/01/2008
NEG,4,08/01/2008
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,3,11/01/2008
NEG,0,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,0,04/01/2009
NEG,4,05/01/2009
NEG,3,06/01/2009
NEG,4,07/01/2009
NEG,2,08/01/2009
NEG,3,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,4,12/01/2009
NEG,3,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,11,06/01/2010
NEG,5,07/01/2010
NEG,10,08/01/2010
NEG,4,09/01/2010
NEG,4,10/01/2010
NEG,8,11/01/2010
NEG,3,12/01/2010
NEG,2,01/01/2011
NEG,4,02/01/2011
NEG,3,03/01/2011
NEG,8,04/01/2011
NEG,5,05/01/2011
NEG,6,06/01/2011
NEG,16,07/01/2011
NEG,10,08/01/2011
NEG,9,09/01/2011
NEG,5,10/01/2011
NEG,6,11/01/2011
NEG,8,12/01/2011
NEG,16,01/01/2012
NEG,8,02/01/2012
NEG,9,03/01/2012
NEG,7,04/01/2012
NEG,11,05/01/2012
NEG,7,06/01/2012
NEG,10,07/01/2012
NEG,10,08/01/2012
NEG,11,09/01/2012
NEG,7,10/01/2012
NEG,6,11/01/2012
NEG,3,12/01/2012
