label,count,month
POS,3,01/01/2011
POS,6,02/01/2011
POS,4,03/01/2011
POS,2,04/01/2011
POS,8,05/01/2011
POS,5,06/01/2011
POS,12,07/01/2011
POS,19,08/01/2011
POS,18,09/01/2011
POS,8,10/01/2011
POS,11,11/01/2011
POS,10,12/01/2011
POS,14,01/01/2012
POS,7,02/01/2012
POS,14,03/01/2012
POS,18,04/01/2012
POS,19,05/01/2012
POS,20,06/01/2012
POS,13,07/01/2012
POS,18,08/01/2012
POS,13,09/01/2012
POS,13,10/01/2012
POS,12,11/01/2012
POS,2,12/01/2012
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,1,05/01/2011
NEG,3,06/01/2011
NEG,5,07/01/2011
NEG,4,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,4,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,10,04/01/2012
NEG,7,05/01/2012
NEG,5,06/01/2012
NEG,9,07/01/2012
NEG,4,08/01/2012
NEG,5,09/01/2012
NEG,6,10/01/2012
NEG,6,11/01/2012
NEG,1,12/01/2012
