label,count,month
POS,5,09/01/2011
POS,10,10/01/2011
POS,5,11/01/2011
POS,10,12/01/2011
POS,4,01/01/2012
POS,6,02/01/2012
POS,4,03/01/2012
POS,10,04/01/2012
POS,12,05/01/2012
POS,9,06/01/2012
POS,9,07/01/2012
POS,11,08/01/2012
POS,11,09/01/2012
POS,9,10/01/2012
POS,5,11/01/2012
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,0,05/01/2012
NEG,4,06/01/2012
NEG,5,07/01/2012
NEG,2,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,5,11/01/2012
