label,count,month
POS,2,08/01/2010
POS,3,09/01/2010
POS,3,10/01/2010
POS,1,11/01/2010
POS,1,12/01/2010
POS,2,01/01/2011
POS,1,02/01/2011
POS,1,03/01/2011
POS,4,04/01/2011
POS,1,05/01/2011
POS,4,06/01/2011
POS,5,07/01/2011
POS,7,08/01/2011
POS,7,09/01/2011
POS,8,10/01/2011
POS,8,11/01/2011
POS,14,12/01/2011
POS,10,01/01/2012
POS,5,02/01/2012
POS,7,03/01/2012
POS,7,04/01/2012
POS,7,05/01/2012
POS,8,06/01/2012
POS,11,07/01/2012
POS,14,08/01/2012
POS,15,09/01/2012
POS,11,10/01/2012
POS,6,11/01/2012
POS,8,12/01/2012
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,5,08/01/2011
NEG,1,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,2,08/01/2012
NEG,1,09/01/2012
NEG,2,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
