label,count,month
POS,1,09/01/2002
POS,0,03/01/2003
POS,2,04/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,2,09/01/2003
POS,0,10/01/2003
POS,0,11/01/2003
POS,3,12/01/2003
POS,2,01/01/2004
POS,2,02/01/2004
POS,1,03/01/2004
POS,1,05/01/2004
POS,2,06/01/2004
POS,4,07/01/2004
POS,5,08/01/2004
POS,1,10/01/2004
POS,1,11/01/2004
POS,1,12/01/2004
POS,2,01/01/2005
POS,1,02/01/2005
POS,1,03/01/2005
POS,4,04/01/2005
POS,1,05/01/2005
POS,3,06/01/2005
POS,1,07/01/2005
POS,3,08/01/2005
POS,1,09/01/2005
POS,2,10/01/2005
POS,2,11/01/2005
POS,2,12/01/2005
POS,0,02/01/2006
POS,6,03/01/2006
POS,2,04/01/2006
POS,3,05/01/2006
POS,3,06/01/2006
POS,5,07/01/2006
POS,3,08/01/2006
POS,6,09/01/2006
POS,3,10/01/2006
POS,1,11/01/2006
POS,2,12/01/2006
POS,4,01/01/2007
POS,1,02/01/2007
POS,1,03/01/2007
POS,4,04/01/2007
POS,4,05/01/2007
POS,4,06/01/2007
POS,5,07/01/2007
POS,4,08/01/2007
POS,3,09/01/2007
POS,4,10/01/2007
POS,6,11/01/2007
POS,3,12/01/2007
POS,2,01/01/2008
POS,3,02/01/2008
POS,2,03/01/2008
POS,5,04/01/2008
POS,8,05/01/2008
POS,2,06/01/2008
POS,6,07/01/2008
POS,10,08/01/2008
POS,5,09/01/2008
POS,5,10/01/2008
POS,2,11/01/2008
POS,2,12/01/2008
POS,5,01/01/2009
POS,7,02/01/2009
POS,3,03/01/2009
POS,2,04/01/2009
POS,7,05/01/2009
POS,7,06/01/2009
POS,10,07/01/2009
POS,9,08/01/2009
POS,9,09/01/2009
POS,6,10/01/2009
POS,4,11/01/2009
POS,1,12/01/2009
POS,13,01/01/2010
POS,17,02/01/2010
POS,28,03/01/2010
POS,11,04/01/2010
POS,7,05/01/2010
POS,24,06/01/2010
POS,14,07/01/2010
POS,11,08/01/2010
POS,7,09/01/2010
POS,13,10/01/2010
POS,16,11/01/2010
POS,8,12/01/2010
POS,37,01/01/2011
POS,25,02/01/2011
POS,18,03/01/2011
POS,24,04/01/2011
POS,17,05/01/2011
POS,26,06/01/2011
POS,17,07/01/2011
POS,26,08/01/2011
POS,14,09/01/2011
POS,25,10/01/2011
POS,38,11/01/2011
POS,24,12/01/2011
POS,25,01/01/2012
POS,18,02/01/2012
POS,13,03/01/2012
POS,24,04/01/2012
POS,22,05/01/2012
POS,19,06/01/2012
POS,24,07/01/2012
POS,24,08/01/2012
POS,22,09/01/2012
POS,17,10/01/2012
POS,13,11/01/2012
POS,6,12/01/2012
NEG,0,09/01/2002
NEG,1,03/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,1,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,2,07/01/2004
NEG,1,08/01/2004
NEG,1,10/01/2004
NEG,2,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,2,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,5,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,2,11/01/2005
NEG,0,12/01/2005
NEG,2,02/01/2006
NEG,2,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,1,06/01/2007
NEG,0,07/01/2007
NEG,3,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,2,03/01/2008
NEG,2,04/01/2008
NEG,2,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,1,08/01/2008
NEG,3,09/01/2008
NEG,3,10/01/2008
NEG,6,11/01/2008
NEG,2,12/01/2008
NEG,4,01/01/2009
NEG,6,02/01/2009
NEG,4,03/01/2009
NEG,4,04/01/2009
NEG,2,05/01/2009
NEG,5,06/01/2009
NEG,3,07/01/2009
NEG,5,08/01/2009
NEG,1,09/01/2009
NEG,4,10/01/2009
NEG,5,11/01/2009
NEG,6,12/01/2009
NEG,3,01/01/2010
NEG,5,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,9,05/01/2010
NEG,7,06/01/2010
NEG,8,07/01/2010
NEG,9,08/01/2010
NEG,5,09/01/2010
NEG,9,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,6,01/01/2011
NEG,8,02/01/2011
NEG,5,03/01/2011
NEG,8,04/01/2011
NEG,4,05/01/2011
NEG,6,06/01/2011
NEG,7,07/01/2011
NEG,7,08/01/2011
NEG,6,09/01/2011
NEG,10,10/01/2011
NEG,9,11/01/2011
NEG,3,12/01/2011
NEG,10,01/01/2012
NEG,0,02/01/2012
NEG,11,03/01/2012
NEG,8,04/01/2012
NEG,11,05/01/2012
NEG,9,06/01/2012
NEG,9,07/01/2012
NEG,11,08/01/2012
NEG,9,09/01/2012
NEG,17,10/01/2012
NEG,4,11/01/2012
NEG,3,12/01/2012
