key,value,date
POS,12,02/01/2010
POS,13,03/01/2010
POS,9,04/01/2010
POS,16,05/01/2010
POS,17,06/01/2010
POS,20,07/01/2010
POS,9,08/01/2010
POS,24,09/01/2010
POS,15,10/01/2010
POS,12,11/01/2010
POS,12,12/01/2010
POS,9,01/01/2011
POS,7,02/01/2011
POS,10,03/01/2011
POS,7,04/01/2011
POS,18,05/01/2011
POS,13,06/01/2011
POS,22,07/01/2011
POS,20,08/01/2011
POS,17,09/01/2011
POS,10,10/01/2011
POS,9,11/01/2011
POS,6,12/01/2011
POS,18,01/01/2012
POS,8,02/01/2012
POS,9,03/01/2012
POS,8,04/01/2012
POS,12,05/01/2012
POS,13,06/01/2012
POS,21,07/01/2012
POS,15,08/01/2012
POS,14,09/01/2012
POS,25,10/01/2012
POS,12,11/01/2012
POS,7,12/01/2012
NEG,3,02/01/2010
NEG,2,03/01/2010
NEG,4,04/01/2010
NEG,3,05/01/2010
NEG,5,06/01/2010
NEG,4,07/01/2010
NEG,2,08/01/2010
NEG,6,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,2,03/01/2011
NEG,4,04/01/2011
NEG,4,05/01/2011
NEG,4,06/01/2011
NEG,2,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,1,10/01/2011
NEG,4,11/01/2011
NEG,4,12/01/2011
NEG,4,01/01/2012
NEG,3,02/01/2012
NEG,11,03/01/2012
NEG,6,04/01/2012
NEG,4,05/01/2012
NEG,5,06/01/2012
NEG,1,07/01/2012
NEG,5,08/01/2012
NEG,1,09/01/2012
NEG,2,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
