key,value,date
POS,1,09/01/2010
POS,1,11/01/2010
POS,1,01/01/2011
POS,1,03/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,2,08/01/2011
POS,1,09/01/2011
POS,1,10/01/2011
POS,2,11/01/2011
POS,1,12/01/2011
POS,1,01/01/2012
POS,2,03/01/2012
POS,1,04/01/2012
POS,8,05/01/2012
POS,10,06/01/2012
POS,4,07/01/2012
POS,8,08/01/2012
POS,7,09/01/2012
POS,7,10/01/2012
POS,3,11/01/2012
POS,4,12/01/2012
NEG,0,09/01/2010
NEG,0,11/01/2010
NEG,0,01/01/2011
NEG,0,03/01/2011
NEG,0,06/01/2011
NEG,1,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,0,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
