label,count,month
POS,9,05/01/2009
POS,3,06/01/2009
POS,8,07/01/2009
POS,10,08/01/2009
POS,5,09/01/2009
POS,6,10/01/2009
POS,4,11/01/2009
POS,10,12/01/2009
POS,10,01/01/2010
POS,6,02/01/2010
POS,6,03/01/2010
POS,7,04/01/2010
POS,15,05/01/2010
POS,8,06/01/2010
POS,7,07/01/2010
POS,6,08/01/2010
POS,14,09/01/2010
POS,16,10/01/2010
POS,5,11/01/2010
POS,4,12/01/2010
POS,3,01/01/2011
POS,8,02/01/2011
POS,3,03/01/2011
POS,8,04/01/2011
POS,8,05/01/2011
POS,11,06/01/2011
POS,19,07/01/2011
POS,16,08/01/2011
POS,10,09/01/2011
POS,11,10/01/2011
POS,15,11/01/2011
POS,19,12/01/2011
POS,15,01/01/2012
POS,8,02/01/2012
POS,10,03/01/2012
POS,14,04/01/2012
POS,25,05/01/2012
POS,17,06/01/2012
POS,25,07/01/2012
POS,13,08/01/2012
POS,10,09/01/2012
POS,16,10/01/2012
POS,21,11/01/2012
POS,11,12/01/2012
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,1,08/01/2009
NEG,0,09/01/2009
NEG,0,10/01/2009
NEG,2,11/01/2009
NEG,1,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,4,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,3,09/01/2010
NEG,0,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,4,11/01/2011
NEG,6,12/01/2011
NEG,2,01/01/2012
NEG,5,02/01/2012
NEG,2,03/01/2012
NEG,2,04/01/2012
NEG,4,05/01/2012
NEG,0,06/01/2012
NEG,2,07/01/2012
NEG,4,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,6,11/01/2012
NEG,0,12/01/2012
