key,value,date
POS,1,03/01/2003
POS,1,07/01/2003
POS,2,08/01/2003
POS,3,09/01/2003
POS,1,10/01/2003
POS,2,01/01/2004
POS,1,03/01/2004
POS,1,04/01/2004
POS,1,05/01/2004
POS,3,06/01/2004
POS,1,08/01/2004
POS,2,09/01/2004
POS,2,10/01/2004
POS,1,11/01/2004
POS,6,12/01/2004
POS,1,01/01/2005
POS,7,02/01/2005
POS,10,03/01/2005
POS,15,04/01/2005
POS,8,05/01/2005
POS,16,06/01/2005
POS,11,07/01/2005
POS,8,08/01/2005
POS,13,09/01/2005
POS,13,10/01/2005
POS,6,11/01/2005
POS,11,12/01/2005
POS,15,01/01/2006
POS,7,02/01/2006
POS,17,03/01/2006
POS,6,04/01/2006
POS,2,05/01/2006
POS,14,06/01/2006
POS,9,07/01/2006
POS,8,08/01/2006
POS,11,09/01/2006
POS,13,10/01/2006
POS,7,11/01/2006
POS,10,12/01/2006
POS,12,01/01/2007
POS,11,02/01/2007
POS,14,03/01/2007
POS,10,04/01/2007
POS,12,05/01/2007
POS,10,06/01/2007
POS,12,07/01/2007
POS,12,08/01/2007
POS,8,09/01/2007
POS,12,10/01/2007
POS,9,11/01/2007
POS,4,12/01/2007
POS,21,01/01/2008
POS,17,02/01/2008
POS,25,03/01/2008
POS,16,04/01/2008
POS,9,05/01/2008
POS,7,06/01/2008
POS,12,07/01/2008
POS,8,08/01/2008
POS,12,09/01/2008
POS,12,10/01/2008
POS,10,11/01/2008
POS,5,12/01/2008
POS,7,01/01/2009
POS,16,02/01/2009
POS,8,03/01/2009
POS,9,04/01/2009
POS,10,05/01/2009
POS,6,06/01/2009
POS,8,07/01/2009
POS,7,08/01/2009
POS,9,09/01/2009
POS,10,10/01/2009
POS,8,11/01/2009
POS,3,12/01/2009
POS,13,01/01/2010
POS,11,02/01/2010
POS,11,03/01/2010
POS,13,04/01/2010
POS,12,05/01/2010
POS,6,06/01/2010
POS,8,07/01/2010
POS,13,08/01/2010
POS,7,09/01/2010
POS,15,10/01/2010
POS,11,11/01/2010
POS,11,12/01/2010
POS,10,01/01/2011
POS,16,02/01/2011
POS,4,03/01/2011
POS,21,04/01/2011
POS,12,05/01/2011
POS,9,06/01/2011
POS,25,07/01/2011
POS,16,08/01/2011
POS,11,09/01/2011
POS,10,10/01/2011
POS,12,11/01/2011
POS,16,12/01/2011
POS,14,01/01/2012
POS,14,02/01/2012
POS,17,03/01/2012
POS,14,04/01/2012
POS,9,05/01/2012
POS,16,06/01/2012
POS,16,07/01/2012
POS,14,08/01/2012
POS,13,09/01/2012
POS,10,10/01/2012
POS,11,11/01/2012
POS,9,12/01/2012
NEG,0,03/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,0,01/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,2,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,2,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,2,01/01/2007
NEG,1,02/01/2007
NEG,2,03/01/2007
NEG,3,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,1,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,1,05/01/2008
NEG,3,06/01/2008
NEG,3,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,5,10/01/2008
NEG,4,11/01/2008
NEG,4,12/01/2008
NEG,4,01/01/2009
NEG,2,02/01/2009
NEG,4,03/01/2009
NEG,1,04/01/2009
NEG,1,05/01/2009
NEG,3,06/01/2009
NEG,3,07/01/2009
NEG,3,08/01/2009
NEG,5,09/01/2009
NEG,7,10/01/2009
NEG,1,11/01/2009
NEG,4,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,6,05/01/2010
NEG,3,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,4,09/01/2010
NEG,5,10/01/2010
NEG,2,11/01/2010
NEG,3,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,4,10/01/2011
NEG,7,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,6,02/01/2012
NEG,1,03/01/2012
NEG,4,04/01/2012
NEG,5,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,4,11/01/2012
NEG,2,12/01/2012
