label,count,month
POS,2,08/01/2003
POS,2,09/01/2003
POS,1,12/01/2003
POS,1,01/01/2004
POS,2,02/01/2004
POS,3,03/01/2004
POS,3,05/01/2004
POS,1,06/01/2004
POS,4,07/01/2004
POS,2,09/01/2004
POS,4,10/01/2004
POS,9,11/01/2004
POS,7,12/01/2004
POS,14,01/01/2005
POS,11,02/01/2005
POS,6,03/01/2005
POS,16,04/01/2005
POS,18,05/01/2005
POS,9,06/01/2005
POS,11,07/01/2005
POS,3,08/01/2005
POS,5,09/01/2005
POS,9,10/01/2005
POS,7,11/01/2005
POS,9,12/01/2005
POS,9,01/01/2006
POS,7,02/01/2006
POS,14,03/01/2006
POS,14,04/01/2006
POS,11,05/01/2006
POS,13,06/01/2006
POS,14,07/01/2006
POS,10,08/01/2006
POS,8,09/01/2006
POS,6,10/01/2006
POS,13,11/01/2006
POS,8,12/01/2006
POS,11,01/01/2007
POS,8,02/01/2007
POS,14,03/01/2007
POS,9,04/01/2007
POS,18,05/01/2007
POS,22,06/01/2007
POS,28,07/01/2007
POS,14,08/01/2007
POS,21,09/01/2007
POS,31,10/01/2007
POS,28,11/01/2007
POS,23,12/01/2007
POS,32,01/01/2008
POS,18,02/01/2008
POS,27,03/01/2008
POS,27,04/01/2008
POS,27,05/01/2008
POS,20,06/01/2008
POS,28,07/01/2008
POS,23,08/01/2008
POS,20,09/01/2008
POS,22,10/01/2008
POS,15,11/01/2008
POS,16,12/01/2008
POS,15,01/01/2009
POS,14,02/01/2009
POS,21,03/01/2009
POS,29,04/01/2009
POS,16,05/01/2009
POS,22,06/01/2009
POS,21,07/01/2009
POS,28,08/01/2009
POS,22,09/01/2009
POS,28,10/01/2009
POS,18,11/01/2009
POS,20,12/01/2009
POS,27,01/01/2010
POS,25,02/01/2010
POS,21,03/01/2010
POS,15,04/01/2010
POS,21,05/01/2010
POS,17,06/01/2010
POS,20,07/01/2010
POS,26,08/01/2010
POS,34,09/01/2010
POS,30,10/01/2010
POS,16,11/01/2010
POS,15,12/01/2010
POS,22,01/01/2011
POS,33,02/01/2011
POS,23,03/01/2011
POS,23,04/01/2011
POS,16,05/01/2011
POS,27,06/01/2011
POS,33,07/01/2011
POS,23,08/01/2011
POS,36,09/01/2011
POS,26,10/01/2011
POS,22,11/01/2011
POS,25,12/01/2011
POS,42,01/01/2012
POS,35,02/01/2012
POS,29,03/01/2012
POS,28,04/01/2012
POS,27,05/01/2012
POS,32,06/01/2012
POS,27,07/01/2012
POS,23,08/01/2012
POS,32,09/01/2012
POS,34,10/01/2012
POS,33,11/01/2012
POS,13,12/01/2012
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,1,07/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,2,01/01/2005
NEG,0,02/01/2005
NEG,3,03/01/2005
NEG,0,04/01/2005
NEG,3,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,2,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,0,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,4,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,4,05/01/2008
NEG,3,06/01/2008
NEG,0,07/01/2008
NEG,4,08/01/2008
NEG,5,09/01/2008
NEG,2,10/01/2008
NEG,4,11/01/2008
NEG,3,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,6,04/01/2009
NEG,10,05/01/2009
NEG,4,06/01/2009
NEG,5,07/01/2009
NEG,2,08/01/2009
NEG,9,09/01/2009
NEG,6,10/01/2009
NEG,5,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,3,03/01/2010
NEG,5,04/01/2010
NEG,5,05/01/2010
NEG,3,06/01/2010
NEG,5,07/01/2010
NEG,11,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,5,11/01/2010
NEG,4,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,6,03/01/2011
NEG,4,04/01/2011
NEG,3,05/01/2011
NEG,4,06/01/2011
NEG,3,07/01/2011
NEG,7,08/01/2011
NEG,6,09/01/2011
NEG,11,10/01/2011
NEG,5,11/01/2011
NEG,4,12/01/2011
NEG,9,01/01/2012
NEG,5,02/01/2012
NEG,1,03/01/2012
NEG,8,04/01/2012
NEG,4,05/01/2012
NEG,4,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
