label,count,month
POS,1,08/01/2002
POS,1,04/01/2003
POS,2,05/01/2003
POS,1,06/01/2003
POS,4,07/01/2003
POS,1,08/01/2003
POS,2,09/01/2003
POS,2,10/01/2003
POS,1,11/01/2003
POS,5,12/01/2003
POS,5,01/01/2004
POS,2,02/01/2004
POS,4,03/01/2004
POS,5,04/01/2004
POS,6,05/01/2004
POS,4,06/01/2004
POS,5,07/01/2004
POS,6,08/01/2004
POS,8,09/01/2004
POS,7,10/01/2004
POS,8,11/01/2004
POS,15,12/01/2004
POS,13,01/01/2005
POS,11,02/01/2005
POS,21,03/01/2005
POS,12,04/01/2005
POS,18,05/01/2005
POS,6,06/01/2005
POS,8,07/01/2005
POS,8,08/01/2005
POS,6,09/01/2005
POS,9,10/01/2005
POS,3,11/01/2005
POS,12,12/01/2005
POS,17,01/01/2006
POS,12,02/01/2006
POS,15,03/01/2006
POS,20,04/01/2006
POS,12,05/01/2006
POS,9,06/01/2006
POS,10,07/01/2006
POS,6,08/01/2006
POS,11,09/01/2006
POS,11,10/01/2006
POS,7,11/01/2006
POS,10,12/01/2006
POS,10,01/01/2007
POS,7,02/01/2007
POS,20,03/01/2007
POS,15,04/01/2007
POS,10,05/01/2007
POS,21,06/01/2007
POS,17,07/01/2007
POS,11,08/01/2007
POS,12,09/01/2007
POS,20,10/01/2007
POS,22,11/01/2007
POS,21,12/01/2007
POS,25,01/01/2008
POS,18,02/01/2008
POS,28,03/01/2008
POS,19,04/01/2008
POS,26,05/01/2008
POS,24,06/01/2008
POS,17,07/01/2008
POS,15,08/01/2008
POS,20,09/01/2008
POS,12,10/01/2008
POS,17,11/01/2008
POS,18,12/01/2008
POS,27,01/01/2009
POS,14,02/01/2009
POS,19,03/01/2009
POS,24,04/01/2009
POS,18,05/01/2009
POS,19,06/01/2009
POS,24,07/01/2009
POS,20,08/01/2009
POS,20,09/01/2009
POS,19,10/01/2009
POS,12,11/01/2009
POS,16,12/01/2009
POS,21,01/01/2010
POS,16,02/01/2010
POS,16,03/01/2010
POS,13,04/01/2010
POS,18,05/01/2010
POS,35,06/01/2010
POS,21,07/01/2010
POS,27,08/01/2010
POS,28,09/01/2010
POS,39,10/01/2010
POS,32,11/01/2010
POS,34,12/01/2010
POS,19,01/01/2011
POS,31,02/01/2011
POS,16,03/01/2011
POS,27,04/01/2011
POS,38,05/01/2011
POS,39,06/01/2011
POS,37,07/01/2011
POS,50,08/01/2011
POS,58,09/01/2011
POS,60,10/01/2011
POS,60,11/01/2011
POS,52,12/01/2011
POS,72,01/01/2012
POS,52,02/01/2012
POS,52,03/01/2012
POS,72,04/01/2012
POS,45,05/01/2012
POS,69,06/01/2012
POS,86,07/01/2012
POS,75,08/01/2012
POS,65,09/01/2012
POS,60,10/01/2012
POS,50,11/01/2012
POS,36,12/01/2012
NEG,0,08/01/2002
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,2,09/01/2003
NEG,0,10/01/2003
NEG,1,11/01/2003
NEG,0,12/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,1,05/01/2004
NEG,1,06/01/2004
NEG,2,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,1,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,2,01/01/2006
NEG,0,02/01/2006
NEG,3,03/01/2006
NEG,2,04/01/2006
NEG,2,05/01/2006
NEG,2,06/01/2006
NEG,3,07/01/2006
NEG,2,08/01/2006
NEG,6,09/01/2006
NEG,2,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,3,01/01/2007
NEG,0,02/01/2007
NEG,1,03/01/2007
NEG,6,04/01/2007
NEG,2,05/01/2007
NEG,3,06/01/2007
NEG,2,07/01/2007
NEG,3,08/01/2007
NEG,2,09/01/2007
NEG,7,10/01/2007
NEG,3,11/01/2007
NEG,2,12/01/2007
NEG,3,01/01/2008
NEG,2,02/01/2008
NEG,3,03/01/2008
NEG,1,04/01/2008
NEG,5,05/01/2008
NEG,8,06/01/2008
NEG,6,07/01/2008
NEG,5,08/01/2008
NEG,4,09/01/2008
NEG,11,10/01/2008
NEG,5,11/01/2008
NEG,8,12/01/2008
NEG,4,01/01/2009
NEG,5,02/01/2009
NEG,4,03/01/2009
NEG,9,04/01/2009
NEG,3,05/01/2009
NEG,8,06/01/2009
NEG,5,07/01/2009
NEG,8,08/01/2009
NEG,14,09/01/2009
NEG,15,10/01/2009
NEG,13,11/01/2009
NEG,8,12/01/2009
NEG,9,01/01/2010
NEG,5,02/01/2010
NEG,6,03/01/2010
NEG,5,04/01/2010
NEG,12,05/01/2010
NEG,15,06/01/2010
NEG,7,07/01/2010
NEG,11,08/01/2010
NEG,12,09/01/2010
NEG,9,10/01/2010
NEG,8,11/01/2010
NEG,9,12/01/2010
NEG,9,01/01/2011
NEG,6,02/01/2011
NEG,7,03/01/2011
NEG,10,04/01/2011
NEG,15,05/01/2011
NEG,9,06/01/2011
NEG,7,07/01/2011
NEG,6,08/01/2011
NEG,8,09/01/2011
NEG,19,10/01/2011
NEG,16,11/01/2011
NEG,12,12/01/2011
NEG,19,01/01/2012
NEG,7,02/01/2012
NEG,8,03/01/2012
NEG,16,04/01/2012
NEG,14,05/01/2012
NEG,14,06/01/2012
NEG,19,07/01/2012
NEG,13,08/01/2012
NEG,16,09/01/2012
NEG,17,10/01/2012
NEG,16,11/01/2012
NEG,8,12/01/2012
