key,value,date
POS,1,12/01/2010
POS,4,01/01/2011
POS,4,02/01/2011
POS,2,03/01/2011
POS,7,04/01/2011
POS,13,05/01/2011
POS,6,06/01/2011
POS,7,07/01/2011
POS,5,08/01/2011
POS,9,09/01/2011
POS,12,10/01/2011
POS,6,11/01/2011
POS,7,12/01/2011
POS,8,01/01/2012
POS,6,02/01/2012
POS,11,03/01/2012
POS,15,04/01/2012
POS,6,05/01/2012
POS,7,06/01/2012
POS,12,07/01/2012
POS,11,08/01/2012
POS,14,09/01/2012
POS,12,10/01/2012
POS,12,11/01/2012
POS,8,12/01/2012
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,4,09/01/2011
NEG,1,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,3,08/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
