label,count,month
POS,1,03/01/2007
POS,1,07/01/2007
POS,1,09/01/2007
POS,2,12/01/2007
POS,1,08/01/2008
POS,0,08/01/2009
POS,0,05/01/2011
POS,0,09/01/2011
POS,1,01/01/2012
POS,3,03/01/2012
POS,28,04/01/2012
POS,27,05/01/2012
POS,15,06/01/2012
POS,25,07/01/2012
POS,12,08/01/2012
POS,23,09/01/2012
POS,29,10/01/2012
POS,27,11/01/2012
POS,19,12/01/2012
NEG,0,03/01/2007
NEG,0,07/01/2007
NEG,0,09/01/2007
NEG,0,12/01/2007
NEG,0,08/01/2008
NEG,1,08/01/2009
NEG,1,05/01/2011
NEG,1,09/01/2011
NEG,0,01/01/2012
NEG,0,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,6,06/01/2012
NEG,4,07/01/2012
NEG,9,08/01/2012
NEG,5,09/01/2012
NEG,9,10/01/2012
NEG,16,11/01/2012
NEG,5,12/01/2012
