label,count,month
POS,3,07/01/2010
POS,11,08/01/2010
POS,6,09/01/2010
POS,12,10/01/2010
POS,11,11/01/2010
POS,11,12/01/2010
POS,9,01/01/2011
POS,10,02/01/2011
POS,12,03/01/2011
POS,8,04/01/2011
POS,16,05/01/2011
POS,16,06/01/2011
POS,21,07/01/2011
POS,29,08/01/2011
POS,31,09/01/2011
POS,41,10/01/2011
POS,30,11/01/2011
POS,24,12/01/2011
POS,32,01/01/2012
POS,23,02/01/2012
POS,21,03/01/2012
POS,36,04/01/2012
POS,34,05/01/2012
POS,36,06/01/2012
POS,42,07/01/2012
POS,31,08/01/2012
POS,36,09/01/2012
POS,23,10/01/2012
POS,19,11/01/2012
POS,16,12/01/2012
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,6,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,5,07/01/2011
NEG,3,08/01/2011
NEG,8,09/01/2011
NEG,6,10/01/2011
NEG,6,11/01/2011
NEG,4,12/01/2011
NEG,3,01/01/2012
NEG,0,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,6,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,0,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
