label,count,month
POS,2,02/01/2010
POS,6,03/01/2010
POS,11,04/01/2010
POS,10,05/01/2010
POS,12,06/01/2010
POS,15,07/01/2010
POS,16,08/01/2010
POS,7,09/01/2010
POS,14,10/01/2010
POS,13,11/01/2010
POS,11,12/01/2010
POS,14,01/01/2011
POS,6,02/01/2011
POS,14,03/01/2011
POS,27,04/01/2011
POS,25,05/01/2011
POS,32,06/01/2011
POS,39,07/01/2011
POS,41,08/01/2011
POS,23,09/01/2011
POS,36,10/01/2011
POS,35,11/01/2011
POS,32,12/01/2011
POS,28,01/01/2012
POS,20,02/01/2012
POS,24,03/01/2012
POS,22,04/01/2012
POS,24,05/01/2012
POS,28,06/01/2012
POS,37,07/01/2012
POS,29,08/01/2012
POS,38,09/01/2012
POS,26,10/01/2012
POS,20,11/01/2012
POS,15,12/01/2012
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,0,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,3,10/01/2010
NEG,0,11/01/2010
NEG,3,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,8,04/01/2011
NEG,5,05/01/2011
NEG,12,06/01/2011
NEG,5,07/01/2011
NEG,7,08/01/2011
NEG,2,09/01/2011
NEG,7,10/01/2011
NEG,9,11/01/2011
NEG,8,12/01/2011
NEG,7,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,5,04/01/2012
NEG,5,05/01/2012
NEG,4,06/01/2012
NEG,6,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,3,12/01/2012
