key,value,date
POS,1,05/01/2008
POS,1,06/01/2008
POS,1,07/01/2008
POS,5,08/01/2008
POS,4,09/01/2008
POS,4,10/01/2008
POS,2,11/01/2008
POS,3,12/01/2008
POS,3,01/01/2009
POS,3,02/01/2009
POS,10,03/01/2009
POS,9,04/01/2009
POS,9,05/01/2009
POS,7,06/01/2009
POS,7,07/01/2009
POS,7,08/01/2009
POS,10,09/01/2009
POS,7,10/01/2009
POS,6,11/01/2009
POS,5,12/01/2009
POS,5,01/01/2010
POS,6,02/01/2010
POS,10,03/01/2010
POS,7,04/01/2010
POS,13,05/01/2010
POS,11,06/01/2010
POS,7,07/01/2010
POS,16,08/01/2010
POS,8,09/01/2010
POS,7,10/01/2010
POS,7,11/01/2010
POS,8,12/01/2010
POS,10,01/01/2011
POS,5,02/01/2011
POS,7,03/01/2011
POS,5,04/01/2011
POS,13,05/01/2011
POS,8,06/01/2011
POS,7,07/01/2011
POS,12,08/01/2011
POS,9,09/01/2011
POS,12,10/01/2011
POS,8,11/01/2011
POS,4,12/01/2011
POS,12,01/01/2012
POS,11,02/01/2012
POS,6,03/01/2012
POS,12,04/01/2012
POS,11,05/01/2012
POS,6,06/01/2012
POS,9,07/01/2012
POS,14,08/01/2012
POS,9,09/01/2012
POS,6,10/01/2012
POS,5,11/01/2012
POS,2,12/01/2012
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,2,01/01/2009
NEG,0,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,1,08/01/2009
NEG,3,09/01/2009
NEG,0,10/01/2009
NEG,3,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,2,05/01/2010
NEG,7,06/01/2010
NEG,7,07/01/2010
NEG,5,08/01/2010
NEG,1,09/01/2010
NEG,3,10/01/2010
NEG,3,11/01/2010
NEG,2,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,5,06/01/2011
NEG,3,07/01/2011
NEG,5,08/01/2011
NEG,5,09/01/2011
NEG,3,10/01/2011
NEG,2,11/01/2011
NEG,0,12/01/2011
NEG,5,01/01/2012
NEG,5,02/01/2012
NEG,3,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,3,06/01/2012
NEG,4,07/01/2012
NEG,1,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,3,11/01/2012
NEG,2,12/01/2012
