key,value,date
POS,0,10/01/2009
POS,5,11/01/2009
POS,10,12/01/2009
POS,3,01/01/2010
POS,6,02/01/2010
POS,7,03/01/2010
POS,15,04/01/2010
POS,22,05/01/2010
POS,16,06/01/2010
POS,16,07/01/2010
POS,17,08/01/2010
POS,15,09/01/2010
POS,17,10/01/2010
POS,29,11/01/2010
POS,18,12/01/2010
POS,18,01/01/2011
POS,8,02/01/2011
POS,21,03/01/2011
POS,17,04/01/2011
POS,14,05/01/2011
POS,17,06/01/2011
POS,22,07/01/2011
POS,18,08/01/2011
POS,20,09/01/2011
POS,16,10/01/2011
POS,12,11/01/2011
POS,22,12/01/2011
POS,22,01/01/2012
POS,15,02/01/2012
POS,23,03/01/2012
POS,15,04/01/2012
POS,13,05/01/2012
POS,18,06/01/2012
POS,22,07/01/2012
POS,24,08/01/2012
POS,22,09/01/2012
POS,19,10/01/2012
POS,12,11/01/2012
POS,10,12/01/2012
NEG,2,10/01/2009
NEG,4,11/01/2009
NEG,5,12/01/2009
NEG,7,01/01/2010
NEG,2,02/01/2010
NEG,9,03/01/2010
NEG,8,04/01/2010
NEG,6,05/01/2010
NEG,2,06/01/2010
NEG,5,07/01/2010
NEG,8,08/01/2010
NEG,7,09/01/2010
NEG,9,10/01/2010
NEG,8,11/01/2010
NEG,6,12/01/2010
NEG,5,01/01/2011
NEG,3,02/01/2011
NEG,6,03/01/2011
NEG,6,04/01/2011
NEG,11,05/01/2011
NEG,7,06/01/2011
NEG,21,07/01/2011
NEG,15,08/01/2011
NEG,17,09/01/2011
NEG,14,10/01/2011
NEG,23,11/01/2011
NEG,13,12/01/2011
NEG,12,01/01/2012
NEG,13,02/01/2012
NEG,20,03/01/2012
NEG,10,04/01/2012
NEG,12,05/01/2012
NEG,8,06/01/2012
NEG,14,07/01/2012
NEG,20,08/01/2012
NEG,18,09/01/2012
NEG,21,10/01/2012
NEG,22,11/01/2012
NEG,9,12/01/2012
