label,count,month
POS,1,12/01/2002
POS,1,06/01/2003
POS,3,08/01/2003
POS,2,09/01/2003
POS,2,10/01/2003
POS,4,11/01/2003
POS,2,12/01/2003
POS,4,01/01/2004
POS,2,02/01/2004
POS,5,03/01/2004
POS,3,04/01/2004
POS,5,05/01/2004
POS,8,06/01/2004
POS,10,07/01/2004
POS,11,08/01/2004
POS,4,09/01/2004
POS,4,10/01/2004
POS,15,11/01/2004
POS,8,12/01/2004
POS,9,01/01/2005
POS,8,02/01/2005
POS,5,03/01/2005
POS,8,04/01/2005
POS,6,05/01/2005
POS,12,06/01/2005
POS,9,07/01/2005
POS,7,08/01/2005
POS,0,09/01/2005
POS,3,10/01/2005
POS,5,11/01/2005
POS,3,12/01/2005
POS,5,01/01/2006
POS,8,02/01/2006
POS,6,03/01/2006
POS,8,04/01/2006
POS,10,05/01/2006
POS,9,06/01/2006
POS,1,07/01/2006
POS,3,08/01/2006
POS,3,09/01/2006
POS,7,10/01/2006
POS,4,11/01/2006
POS,1,12/01/2006
POS,2,01/01/2007
POS,2,02/01/2007
POS,4,03/01/2007
POS,5,04/01/2007
POS,2,05/01/2007
POS,2,06/01/2007
POS,4,07/01/2007
POS,2,08/01/2007
POS,4,09/01/2007
POS,3,10/01/2007
POS,4,11/01/2007
POS,3,12/01/2007
POS,8,01/01/2008
POS,4,03/01/2008
POS,7,04/01/2008
POS,10,05/01/2008
POS,10,06/01/2008
POS,4,07/01/2008
POS,13,08/01/2008
POS,8,09/01/2008
POS,8,10/01/2008
POS,6,11/01/2008
POS,3,12/01/2008
POS,5,01/01/2009
POS,4,02/01/2009
POS,8,03/01/2009
POS,6,04/01/2009
POS,12,05/01/2009
POS,3,06/01/2009
POS,10,07/01/2009
POS,4,08/01/2009
POS,13,09/01/2009
POS,9,10/01/2009
POS,6,11/01/2009
POS,9,12/01/2009
POS,11,01/01/2010
POS,5,02/01/2010
POS,7,03/01/2010
POS,7,04/01/2010
POS,5,05/01/2010
POS,7,06/01/2010
POS,6,07/01/2010
POS,6,08/01/2010
POS,2,09/01/2010
POS,10,10/01/2010
POS,4,11/01/2010
POS,5,12/01/2010
POS,6,01/01/2011
POS,8,02/01/2011
POS,6,03/01/2011
POS,7,04/01/2011
POS,7,05/01/2011
POS,14,06/01/2011
POS,15,07/01/2011
POS,13,08/01/2011
POS,11,09/01/2011
POS,9,10/01/2011
POS,14,11/01/2011
POS,10,12/01/2011
POS,11,01/01/2012
POS,4,02/01/2012
POS,13,03/01/2012
POS,14,04/01/2012
POS,10,05/01/2012
POS,12,06/01/2012
POS,15,07/01/2012
POS,26,08/01/2012
POS,11,09/01/2012
POS,12,10/01/2012
POS,8,11/01/2012
POS,7,12/01/2012
NEG,0,12/01/2002
NEG,0,06/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,2,12/01/2004
NEG,2,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,2,05/01/2005
NEG,2,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,2,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,2,12/01/2005
NEG,1,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,1,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,3,11/01/2007
NEG,1,12/01/2007
NEG,1,01/01/2008
NEG,1,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,1,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,1,11/01/2008
NEG,3,12/01/2008
NEG,1,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,3,06/01/2009
NEG,0,07/01/2009
NEG,3,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,3,01/01/2010
NEG,5,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,3,06/01/2010
NEG,3,07/01/2010
NEG,2,08/01/2010
NEG,4,09/01/2010
NEG,4,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,1,09/01/2011
NEG,4,10/01/2011
NEG,1,11/01/2011
NEG,3,12/01/2011
NEG,1,01/01/2012
NEG,1,02/01/2012
NEG,4,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,4,06/01/2012
NEG,4,07/01/2012
NEG,7,08/01/2012
NEG,8,09/01/2012
NEG,7,10/01/2012
NEG,7,11/01/2012
NEG,1,12/01/2012
