label,count,month
POS,3,08/01/2009
POS,2,09/01/2009
POS,5,10/01/2009
POS,2,11/01/2009
POS,6,12/01/2009
POS,5,01/01/2010
POS,3,02/01/2010
POS,4,03/01/2010
POS,5,04/01/2010
POS,2,05/01/2010
POS,2,06/01/2010
POS,5,07/01/2010
POS,7,08/01/2010
POS,5,09/01/2010
POS,8,10/01/2010
POS,7,11/01/2010
POS,9,12/01/2010
POS,11,01/01/2011
POS,9,02/01/2011
POS,15,03/01/2011
POS,10,04/01/2011
POS,9,05/01/2011
POS,17,06/01/2011
POS,10,07/01/2011
POS,14,08/01/2011
POS,29,09/01/2011
POS,14,10/01/2011
POS,15,11/01/2011
POS,16,12/01/2011
POS,18,01/01/2012
POS,18,02/01/2012
POS,18,03/01/2012
POS,14,04/01/2012
POS,27,05/01/2012
POS,29,06/01/2012
POS,16,07/01/2012
POS,14,08/01/2012
POS,26,09/01/2012
POS,20,10/01/2012
POS,24,11/01/2012
POS,9,12/01/2012
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,3,10/01/2009
NEG,2,11/01/2009
NEG,0,12/01/2009
NEG,4,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,4,06/01/2010
NEG,4,07/01/2010
NEG,3,08/01/2010
NEG,1,09/01/2010
NEG,5,10/01/2010
NEG,1,11/01/2010
NEG,6,12/01/2010
NEG,4,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,9,04/01/2011
NEG,6,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,7,08/01/2011
NEG,5,09/01/2011
NEG,4,10/01/2011
NEG,5,11/01/2011
NEG,5,12/01/2011
NEG,6,01/01/2012
NEG,4,02/01/2012
NEG,5,03/01/2012
NEG,5,04/01/2012
NEG,11,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,5,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,8,11/01/2012
NEG,6,12/01/2012
