label,count,month
POS,1,12/01/2002
POS,1,04/01/2003
POS,1,05/01/2003
POS,0,06/01/2003
POS,0,10/01/2003
POS,2,11/01/2003
POS,0,12/01/2003
POS,1,01/01/2004
POS,1,02/01/2004
POS,5,03/01/2004
POS,3,04/01/2004
POS,5,05/01/2004
POS,6,07/01/2004
POS,4,08/01/2004
POS,5,09/01/2004
POS,2,10/01/2004
POS,5,11/01/2004
POS,9,12/01/2004
POS,7,01/01/2005
POS,2,02/01/2005
POS,8,03/01/2005
POS,3,04/01/2005
POS,5,05/01/2005
POS,2,06/01/2005
POS,3,07/01/2005
POS,7,09/01/2005
POS,2,10/01/2005
POS,3,11/01/2005
POS,3,12/01/2005
POS,4,01/01/2006
POS,2,02/01/2006
POS,8,03/01/2006
POS,14,04/01/2006
POS,4,05/01/2006
POS,8,06/01/2006
POS,6,07/01/2006
POS,5,08/01/2006
POS,5,09/01/2006
POS,3,10/01/2006
POS,5,11/01/2006
POS,7,12/01/2006
POS,9,01/01/2007
POS,1,02/01/2007
POS,5,03/01/2007
POS,2,04/01/2007
POS,2,05/01/2007
POS,4,06/01/2007
POS,4,07/01/2007
POS,4,08/01/2007
POS,7,09/01/2007
POS,4,10/01/2007
POS,5,11/01/2007
POS,7,12/01/2007
POS,4,01/01/2008
POS,1,02/01/2008
POS,5,03/01/2008
POS,6,04/01/2008
POS,9,05/01/2008
POS,2,06/01/2008
POS,3,07/01/2008
POS,4,08/01/2008
POS,3,09/01/2008
POS,1,10/01/2008
POS,2,11/01/2008
POS,5,12/01/2008
POS,4,01/01/2009
POS,2,02/01/2009
POS,2,03/01/2009
POS,13,04/01/2009
POS,11,05/01/2009
POS,11,06/01/2009
POS,9,07/01/2009
POS,6,08/01/2009
POS,11,09/01/2009
POS,5,10/01/2009
POS,8,11/01/2009
POS,6,12/01/2009
POS,4,01/01/2010
POS,4,02/01/2010
POS,3,03/01/2010
POS,8,04/01/2010
POS,15,05/01/2010
POS,9,06/01/2010
POS,10,07/01/2010
POS,6,08/01/2010
POS,18,09/01/2010
POS,7,10/01/2010
POS,11,11/01/2010
POS,13,12/01/2010
POS,14,01/01/2011
POS,4,02/01/2011
POS,11,03/01/2011
POS,11,04/01/2011
POS,15,05/01/2011
POS,26,06/01/2011
POS,10,07/01/2011
POS,25,08/01/2011
POS,12,09/01/2011
POS,23,10/01/2011
POS,17,11/01/2011
POS,7,12/01/2011
POS,7,01/01/2012
POS,6,02/01/2012
POS,23,03/01/2012
POS,10,04/01/2012
POS,15,05/01/2012
POS,14,06/01/2012
POS,17,07/01/2012
POS,20,08/01/2012
POS,9,09/01/2012
POS,12,10/01/2012
POS,16,11/01/2012
POS,7,12/01/2012
NEG,0,12/01/2002
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,1,06/01/2003
NEG,1,10/01/2003
NEG,1,11/01/2003
NEG,2,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,2,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,2,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,3,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,2,03/01/2006
NEG,2,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,3,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,2,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,2,10/01/2007
NEG,2,11/01/2007
NEG,2,12/01/2007
NEG,1,01/01/2008
NEG,2,02/01/2008
NEG,2,03/01/2008
NEG,7,04/01/2008
NEG,2,05/01/2008
NEG,2,06/01/2008
NEG,2,07/01/2008
NEG,3,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,3,11/01/2008
NEG,4,12/01/2008
NEG,3,01/01/2009
NEG,1,02/01/2009
NEG,2,03/01/2009
NEG,10,04/01/2009
NEG,12,05/01/2009
NEG,6,06/01/2009
NEG,4,07/01/2009
NEG,5,08/01/2009
NEG,7,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,4,01/01/2010
NEG,4,02/01/2010
NEG,4,03/01/2010
NEG,3,04/01/2010
NEG,4,05/01/2010
NEG,6,06/01/2010
NEG,2,07/01/2010
NEG,4,08/01/2010
NEG,1,09/01/2010
NEG,6,10/01/2010
NEG,4,11/01/2010
NEG,7,12/01/2010
NEG,2,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,6,04/01/2011
NEG,10,05/01/2011
NEG,5,06/01/2011
NEG,6,07/01/2011
NEG,6,08/01/2011
NEG,5,09/01/2011
NEG,7,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,3,01/01/2012
NEG,3,02/01/2012
NEG,7,03/01/2012
NEG,3,04/01/2012
NEG,7,05/01/2012
NEG,7,06/01/2012
NEG,5,07/01/2012
NEG,5,08/01/2012
NEG,3,09/01/2012
NEG,5,10/01/2012
NEG,5,11/01/2012
NEG,1,12/01/2012
