label,count,month
POS,1,08/01/2002
POS,2,03/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,1,12/01/2003
POS,2,01/01/2004
POS,2,02/01/2004
POS,3,03/01/2004
POS,4,04/01/2004
POS,2,05/01/2004
POS,3,06/01/2004
POS,2,07/01/2004
POS,2,08/01/2004
POS,3,09/01/2004
POS,9,10/01/2004
POS,3,11/01/2004
POS,3,12/01/2004
POS,2,01/01/2005
POS,5,02/01/2005
POS,7,03/01/2005
POS,7,04/01/2005
POS,3,05/01/2005
POS,8,06/01/2005
POS,5,07/01/2005
POS,8,08/01/2005
POS,7,09/01/2005
POS,5,10/01/2005
POS,6,11/01/2005
POS,9,12/01/2005
POS,8,01/01/2006
POS,4,02/01/2006
POS,4,03/01/2006
POS,15,04/01/2006
POS,10,05/01/2006
POS,9,06/01/2006
POS,6,07/01/2006
POS,8,08/01/2006
POS,13,09/01/2006
POS,9,10/01/2006
POS,9,11/01/2006
POS,7,12/01/2006
POS,16,01/01/2007
POS,11,02/01/2007
POS,11,03/01/2007
POS,23,04/01/2007
POS,16,05/01/2007
POS,16,06/01/2007
POS,31,07/01/2007
POS,19,08/01/2007
POS,16,09/01/2007
POS,19,10/01/2007
POS,20,11/01/2007
POS,15,12/01/2007
POS,24,01/01/2008
POS,18,02/01/2008
POS,28,03/01/2008
POS,28,04/01/2008
POS,16,05/01/2008
POS,11,06/01/2008
POS,18,07/01/2008
POS,14,08/01/2008
POS,20,09/01/2008
POS,21,10/01/2008
POS,28,11/01/2008
POS,12,12/01/2008
POS,25,01/01/2009
POS,26,02/01/2009
POS,16,03/01/2009
POS,23,04/01/2009
POS,16,05/01/2009
POS,21,06/01/2009
POS,19,07/01/2009
POS,22,08/01/2009
POS,15,09/01/2009
POS,9,10/01/2009
POS,14,11/01/2009
POS,11,12/01/2009
POS,13,01/01/2010
POS,16,02/01/2010
POS,23,03/01/2010
POS,25,04/01/2010
POS,41,05/01/2010
POS,41,06/01/2010
POS,27,07/01/2010
POS,34,08/01/2010
POS,35,09/01/2010
POS,35,10/01/2010
POS,38,11/01/2010
POS,24,12/01/2010
POS,35,01/01/2011
POS,34,02/01/2011
POS,32,03/01/2011
POS,26,04/01/2011
POS,28,05/01/2011
POS,37,06/01/2011
POS,51,07/01/2011
POS,44,08/01/2011
POS,38,09/01/2011
POS,43,10/01/2011
POS,49,11/01/2011
POS,48,12/01/2011
POS,36,01/01/2012
POS,40,02/01/2012
POS,32,03/01/2012
POS,46,04/01/2012
POS,38,05/01/2012
POS,48,06/01/2012
POS,44,07/01/2012
POS,35,08/01/2012
POS,39,09/01/2012
POS,39,10/01/2012
POS,37,11/01/2012
POS,29,12/01/2012
NEG,0,08/01/2002
NEG,0,03/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,1,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,2,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,1,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,1,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,2,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,3,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,2,05/01/2008
NEG,2,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,1,11/01/2008
NEG,2,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,1,03/01/2009
NEG,3,04/01/2009
NEG,5,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,2,08/01/2009
NEG,2,09/01/2009
NEG,5,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,0,03/01/2010
NEG,4,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,2,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,5,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,8,08/01/2011
NEG,12,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,4,02/01/2012
NEG,5,03/01/2012
NEG,1,04/01/2012
NEG,6,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,5,11/01/2012
NEG,2,12/01/2012
