label,count,month
POS,3,08/01/2010
POS,13,09/01/2010
POS,19,10/01/2010
POS,14,11/01/2010
POS,8,12/01/2010
POS,8,01/01/2011
POS,8,02/01/2011
POS,25,03/01/2011
POS,8,04/01/2011
POS,15,05/01/2011
POS,10,06/01/2011
POS,10,07/01/2011
POS,15,08/01/2011
POS,9,09/01/2011
POS,10,10/01/2011
POS,15,11/01/2011
POS,17,12/01/2011
POS,21,01/01/2012
POS,12,02/01/2012
POS,16,03/01/2012
POS,13,04/01/2012
POS,9,05/01/2012
POS,20,06/01/2012
POS,20,07/01/2012
POS,27,08/01/2012
POS,19,09/01/2012
POS,25,10/01/2012
POS,22,11/01/2012
POS,18,12/01/2012
NEG,0,08/01/2010
NEG,8,09/01/2010
NEG,6,10/01/2010
NEG,10,11/01/2010
NEG,3,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,3,03/01/2011
NEG,8,04/01/2011
NEG,6,05/01/2011
NEG,4,06/01/2011
NEG,3,07/01/2011
NEG,3,08/01/2011
NEG,9,09/01/2011
NEG,8,10/01/2011
NEG,9,11/01/2011
NEG,0,12/01/2011
NEG,7,01/01/2012
NEG,2,02/01/2012
NEG,6,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,6,09/01/2012
NEG,6,10/01/2012
NEG,9,11/01/2012
NEG,6,12/01/2012
