key,value,date
POS,3,12/01/2009
POS,1,01/01/2010
POS,4,02/01/2010
POS,3,03/01/2010
POS,4,04/01/2010
POS,3,05/01/2010
POS,1,06/01/2010
POS,2,07/01/2010
POS,0,08/01/2010
POS,5,09/01/2010
POS,5,10/01/2010
POS,5,11/01/2010
POS,1,12/01/2010
POS,2,01/01/2011
POS,2,02/01/2011
POS,7,03/01/2011
POS,4,04/01/2011
POS,2,05/01/2011
POS,6,06/01/2011
POS,10,07/01/2011
POS,14,08/01/2011
POS,11,09/01/2011
POS,8,10/01/2011
POS,4,11/01/2011
POS,8,12/01/2011
POS,10,01/01/2012
POS,3,02/01/2012
POS,4,03/01/2012
POS,19,04/01/2012
POS,11,05/01/2012
POS,10,06/01/2012
POS,8,07/01/2012
POS,13,08/01/2012
POS,14,09/01/2012
POS,15,10/01/2012
POS,5,11/01/2012
POS,3,12/01/2012
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,2,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,2,03/01/2011
NEG,4,04/01/2011
NEG,5,05/01/2011
NEG,8,06/01/2011
NEG,1,07/01/2011
NEG,6,08/01/2011
NEG,1,09/01/2011
NEG,3,10/01/2011
NEG,4,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,0,02/01/2012
NEG,5,03/01/2012
NEG,4,04/01/2012
NEG,0,05/01/2012
NEG,3,06/01/2012
NEG,4,07/01/2012
NEG,2,08/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,1,12/01/2012
