key,value,date
POS,2,11/01/2010
POS,1,12/01/2010
POS,3,01/01/2011
POS,2,02/01/2011
POS,2,03/01/2011
POS,2,04/01/2011
POS,1,06/01/2011
POS,3,07/01/2011
POS,4,08/01/2011
POS,6,09/01/2011
POS,5,10/01/2011
POS,6,11/01/2011
POS,4,12/01/2011
POS,9,01/01/2012
POS,10,02/01/2012
POS,10,03/01/2012
POS,6,04/01/2012
POS,12,05/01/2012
POS,5,06/01/2012
POS,9,07/01/2012
POS,5,08/01/2012
POS,7,09/01/2012
POS,9,10/01/2012
POS,4,11/01/2012
POS,3,12/01/2012
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,3,06/01/2011
NEG,0,07/01/2011
NEG,0,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,1,11/01/2012
NEG,0,12/01/2012
