key,value,date
POS,2,10/01/2009
POS,2,11/01/2009
POS,3,12/01/2009
POS,3,01/01/2010
POS,1,02/01/2010
POS,6,03/01/2010
POS,5,04/01/2010
POS,4,05/01/2010
POS,6,06/01/2010
POS,5,07/01/2010
POS,4,08/01/2010
POS,5,09/01/2010
POS,4,10/01/2010
POS,7,11/01/2010
POS,5,12/01/2010
POS,13,01/01/2011
POS,4,02/01/2011
POS,2,03/01/2011
POS,4,04/01/2011
POS,4,05/01/2011
POS,10,06/01/2011
POS,6,07/01/2011
POS,10,08/01/2011
POS,8,09/01/2011
POS,12,10/01/2011
POS,7,11/01/2011
POS,7,12/01/2011
POS,8,01/01/2012
POS,2,02/01/2012
POS,6,03/01/2012
POS,9,04/01/2012
POS,5,05/01/2012
POS,6,06/01/2012
POS,14,07/01/2012
POS,7,08/01/2012
POS,5,09/01/2012
POS,10,10/01/2012
POS,11,11/01/2012
POS,6,12/01/2012
NEG,0,10/01/2009
NEG,0,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,1,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,0,10/01/2011
NEG,1,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,0,12/01/2012
