label,count,month
POS,1,11/01/2002
POS,1,12/01/2002
POS,1,04/01/2003
POS,1,05/01/2003
POS,2,06/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,1,10/01/2003
POS,5,11/01/2003
POS,1,12/01/2003
POS,2,01/01/2004
POS,2,02/01/2004
POS,1,03/01/2004
POS,1,04/01/2004
POS,2,05/01/2004
POS,2,06/01/2004
POS,3,07/01/2004
POS,3,08/01/2004
POS,3,09/01/2004
POS,5,10/01/2004
POS,2,11/01/2004
POS,7,12/01/2004
POS,1,01/01/2005
POS,3,02/01/2005
POS,6,03/01/2005
POS,3,04/01/2005
POS,5,05/01/2005
POS,5,06/01/2005
POS,3,07/01/2005
POS,3,08/01/2005
POS,1,09/01/2005
POS,2,10/01/2005
POS,2,11/01/2005
POS,6,12/01/2005
POS,2,01/01/2006
POS,5,02/01/2006
POS,3,03/01/2006
POS,0,04/01/2006
POS,6,05/01/2006
POS,1,06/01/2006
POS,2,07/01/2006
POS,3,09/01/2006
POS,10,10/01/2006
POS,2,11/01/2006
POS,7,12/01/2006
POS,3,01/01/2007
POS,4,02/01/2007
POS,6,03/01/2007
POS,6,04/01/2007
POS,3,05/01/2007
POS,5,06/01/2007
POS,6,07/01/2007
POS,3,08/01/2007
POS,1,09/01/2007
POS,10,10/01/2007
POS,5,11/01/2007
POS,4,12/01/2007
POS,9,01/01/2008
POS,2,02/01/2008
POS,4,03/01/2008
POS,2,04/01/2008
POS,3,05/01/2008
POS,10,06/01/2008
POS,5,07/01/2008
POS,5,08/01/2008
POS,5,09/01/2008
POS,17,10/01/2008
POS,10,11/01/2008
POS,12,12/01/2008
POS,5,01/01/2009
POS,8,02/01/2009
POS,13,03/01/2009
POS,19,04/01/2009
POS,14,05/01/2009
POS,12,06/01/2009
POS,12,07/01/2009
POS,21,08/01/2009
POS,20,09/01/2009
POS,29,10/01/2009
POS,15,11/01/2009
POS,18,12/01/2009
POS,16,01/01/2010
POS,14,02/01/2010
POS,20,03/01/2010
POS,22,04/01/2010
