key,value,date
POS,14,02/01/2010
POS,26,03/01/2010
POS,27,04/01/2010
POS,20,05/01/2010
POS,18,06/01/2010
POS,31,07/01/2010
POS,25,08/01/2010
POS,26,09/01/2010
POS,31,10/01/2010
POS,30,11/01/2010
POS,25,12/01/2010
POS,34,01/01/2011
POS,30,02/01/2011
POS,39,03/01/2011
POS,39,04/01/2011
POS,45,05/01/2011
POS,52,06/01/2011
POS,53,07/01/2011
POS,53,08/01/2011
POS,46,09/01/2011
POS,59,10/01/2011
POS,48,11/01/2011
POS,56,12/01/2011
POS,67,01/01/2012
POS,54,02/01/2012
POS,53,03/01/2012
POS,63,04/01/2012
POS,85,05/01/2012
POS,64,06/01/2012
POS,56,07/01/2012
POS,65,08/01/2012
POS,58,09/01/2012
POS,56,10/01/2012
POS,64,11/01/2012
POS,34,12/01/2012
NEG,2,02/01/2010
NEG,3,03/01/2010
NEG,5,04/01/2010
NEG,4,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,6,08/01/2010
NEG,7,09/01/2010
NEG,9,10/01/2010
NEG,6,11/01/2010
NEG,5,12/01/2010
NEG,9,01/01/2011
NEG,6,02/01/2011
NEG,9,03/01/2011
NEG,11,04/01/2011
NEG,7,05/01/2011
NEG,10,06/01/2011
NEG,7,07/01/2011
NEG,17,08/01/2011
NEG,17,09/01/2011
NEG,10,10/01/2011
NEG,14,11/01/2011
NEG,7,12/01/2011
NEG,7,01/01/2012
NEG,12,02/01/2012
NEG,6,03/01/2012
NEG,9,04/01/2012
NEG,7,05/01/2012
NEG,13,06/01/2012
NEG,13,07/01/2012
NEG,14,08/01/2012
NEG,11,09/01/2012
NEG,18,10/01/2012
NEG,10,11/01/2012
NEG,2,12/01/2012
