key,value,date
POS,3,11/01/2011
POS,14,12/01/2011
POS,8,01/01/2012
POS,7,02/01/2012
POS,12,03/01/2012
POS,11,04/01/2012
POS,19,05/01/2012
POS,14,06/01/2012
POS,14,07/01/2012
POS,15,08/01/2012
POS,13,09/01/2012
POS,16,10/01/2012
POS,11,11/01/2012
POS,3,12/01/2012
NEG,2,11/01/2011
NEG,3,12/01/2011
NEG,5,01/01/2012
NEG,1,02/01/2012
NEG,4,03/01/2012
NEG,6,04/01/2012
NEG,7,05/01/2012
NEG,4,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,8,09/01/2012
NEG,6,10/01/2012
NEG,12,11/01/2012
NEG,2,12/01/2012
