key,value,date
POS,1,10/01/2002
POS,1,11/01/2002
POS,1,01/01/2003
POS,2,06/01/2003
POS,5,07/01/2003
POS,0,08/01/2003
POS,1,09/01/2003
POS,2,10/01/2003
POS,3,11/01/2003
POS,1,12/01/2003
POS,4,01/01/2004
POS,2,02/01/2004
POS,6,03/01/2004
POS,8,04/01/2004
POS,11,05/01/2004
POS,5,06/01/2004
POS,7,07/01/2004
POS,5,08/01/2004
POS,4,09/01/2004
POS,6,10/01/2004
POS,6,11/01/2004
POS,9,12/01/2004
POS,9,01/01/2005
POS,5,02/01/2005
POS,3,03/01/2005
POS,5,04/01/2005
POS,3,05/01/2005
POS,13,06/01/2005
POS,15,07/01/2005
POS,5,08/01/2005
POS,4,09/01/2005
POS,5,10/01/2005
POS,2,11/01/2005
POS,3,12/01/2005
POS,9,01/01/2006
POS,8,02/01/2006
POS,4,03/01/2006
POS,2,04/01/2006
POS,3,05/01/2006
POS,7,06/01/2006
POS,12,07/01/2006
POS,6,08/01/2006
POS,7,09/01/2006
POS,9,10/01/2006
POS,6,11/01/2006
POS,2,12/01/2006
POS,4,01/01/2007
POS,4,02/01/2007
POS,5,03/01/2007
POS,9,04/01/2007
POS,6,05/01/2007
POS,11,06/01/2007
POS,15,07/01/2007
POS,13,08/01/2007
POS,4,09/01/2007
POS,5,10/01/2007
POS,8,11/01/2007
POS,7,12/01/2007
POS,7,01/01/2008
POS,3,02/01/2008
POS,7,03/01/2008
POS,8,04/01/2008
POS,9,05/01/2008
POS,8,06/01/2008
POS,13,07/01/2008
POS,10,08/01/2008
POS,6,09/01/2008
POS,7,10/01/2008
POS,7,11/01/2008
POS,10,12/01/2008
POS,13,01/01/2009
POS,5,02/01/2009
POS,14,03/01/2009
POS,13,04/01/2009
POS,17,05/01/2009
POS,15,06/01/2009
POS,15,07/01/2009
POS,14,08/01/2009
POS,22,09/01/2009
POS,33,10/01/2009
POS,20,11/01/2009
POS,14,12/01/2009
POS,26,01/01/2010
POS,45,02/01/2010
POS,36,03/01/2010
POS,33,04/01/2010
POS,40,05/01/2010
POS,36,06/01/2010
POS,24,07/01/2010
POS,36,08/01/2010
POS,35,09/01/2010
POS,61,10/01/2010
POS,25,11/01/2010
POS,13,12/01/2010
POS,33,01/01/2011
POS,40,02/01/2011
POS,30,03/01/2011
POS,18,04/01/2011
POS,23,05/01/2011
POS,40,06/01/2011
POS,54,07/01/2011
POS,61,08/01/2011
POS,47,09/01/2011
POS,48,10/01/2011
POS,50,11/01/2011
